Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population,2022 Population,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
167,Mali,32783,743.0,31957.0,83.0,789342.0,21473764.0,22593590,1873615.0,1331919.0,978690.0,0.0,1849432.0,8.98,6.39,4.69,246.3527777777778
168,Cayman Islands,31472,37.0,8553.0,22882.0,222773.0,67277.0,68706,141118.0,60364.0,58385.0,15339.0,141749.0,212.21,90.78,87.8,4695.127753303965
169,Saint Lucia,29803,409.0,29095.0,299.0,210983.0,185113.0,179857,117740.0,58119.0,52713.0,26255.0,117974.0,63.85,31.52,28.59,1591.4427860696517
170,Benin,27989,163.0,27823.0,3.0,604310.0,12784726.0,13352864,3333450.0,2955274.0,2430934.0,0.0,3265021.0,26.77,23.74,19.52,835.1178343949044
171,Somalia,27318,1361.0,13182.0,12775.0,400466.0,16841795.0,17597511,2395219.0,1929472.0,1290895.0,37292.0,2240573.0,14.64,11.79,7.89,404.0117994100295
173,Solomon Islands,24575,153.0,,,,721159.0,724273,358073.0,235668.0,122405.0,0.0,351879.0,50.86,33.48,17.39,1350.9513513513514
174,San Marino,23427,122.0,23276.0,29.0,157634.0,34085.0,33660,68230.0,26331.0,23602.0,20141.0,68643.0,200.62,77.42,69.4,5228.777202072539
177,Burkina Faso,22025,396.0,21596.0,33.0,248995.0,22102838.0,22673762,2369487.0,2131880.0,1188545.0,0.0,2364862.0,11.02,9.92,5.53,378.10996563573883
178,Liechtenstein,21340,89.0,21237.0,14.0,112457.0,38387.0,39327,70434.0,26721.0,26395.0,70434.0,70420.0,184.12,69.85,69.0,3984.5281385281387
179,Gibraltar,20399,111.0,16579.0,3709.0,534283.0,33704.0,32649,116358.0,42034.0,41228.0,91192.0,118060.0,345.37,124.76,122.37,8000.463470319634
180,Grenada,19680,238.0,19358.0,84.0,182981.0,113475.0,125438,87154.0,43292.0,37915.0,1037.0,87153.0,77.12,38.31,33.55,1894.7518427518428
181,Bermuda,18766,157.0,18593.0,16.0,1024947.0,61939.0,64184,127090.0,48196.0,46699.0,0.0,127654.0,204.68,77.62,75.21,4683.136674259681
182,Nicaragua,18491,225.0,4225.0,14041.0,,6779100.0,6948392,9611936.0,5498389.0,4113547.0,0.0,9616160.0,143.41,82.04,61.37,3688.2673521850897
183,South Sudan,18368,138.0,18115.0,115.0,410280.0,11618511.0,10913164,575057.0,526243.0,482816.0,7489.0,570445.0,5.05,4.62,4.24,142.36363636363637
184,Tajikistan,17786,125.0,17264.0,397.0,,9957464.0,9952787,10439469.0,5085230.0,4614268.0,124745.0,10235637.0,107.08,52.16,47.33,3386.6032258064515
185,Equatorial Guinea,17190,183.0,16883.0,124.0,365697.0,1496662.0,1674908,473409.0,262703.0,210706.0,639.0,467283.0,32.65,18.12,14.53,859.4506666666666
186,Tonga,16734,13.0,15638.0,1083.0,535009.0,107749.0,106858,147193.0,76910.0,70283.0,0.0,145202.0,137.87,72.04,65.83,4331.506369426752
