Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population,2022 Population,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
70,Uruguay,1032710,7609.0,1023939.0,1162.0,6114822.0,3496016.0,3422794,8027751.0,2972777.0,2842482.0,8027368.0,8025066.0,230.34,85.3,81.56,5829.4911392405065
71,Panama,1029701,8596.0,1020206.0,899.0,7475016.0,4446964.0,4408581,7889044.0,3434847.0,3017898.0,231431.0,7855366.0,180.05,78.39,68.88,4179.062937062937
72,Mongolia,1007871,2179.0,1005658.0,34.0,4030048.0,3378078.0,3398366,5478794.0,2272363.0,2174463.0,4412231.0,5481513.0,164.56,68.25,65.31,4116.1275
73,Nepal,1001102,12020.0,989064.0,18.0,6003944.0,30225582.0,30547580,39935568.0,21994736.0,19014212.0,11181021.0,39804602.0,134.58,74.12,64.08,3141.3583138173303
74,Belarus,994037,7118.0,985592.0,1327.0,13646641.0,9432800.0,9534954,11634483.0,5801653.0,5565214.0,0.0,11509794.0,123.21,61.44,58.94,2726.800894854586
75,Latvia,975355,6218.0,968830.0,307.0,7858319.0,1848837.0,1850651,2874324.0,1344075.0,1302192.0,2874313.0,2873254.0,153.96,71.99,69.75,3213.008350730689
76,Saudi Arabia,827962,9574.0,815528.0,2860.0,45048008.0,35844909.0,36408820,62388851.0,26167138.0,24460457.0,58669335.0,62105262.0,176.54,74.04,69.21,3984.8571428571427
77,Azerbaijan,827944,10085.0,817654.0,205.0,7487550.0,10300205.0,10358074,13425032.0,5322427.0,4821276.0,10497102.0,13406873.0,131.32,52.06,47.16,3007.802752293578
78,Paraguay,806256,19820.0,,,2657506.0,7305843.0,6780744,8428214.0,3868131.0,3316744.0,4105501.0,8406382.0,116.74,53.58,45.94,2940.338383838384
79,Bahrain,700452,1543.0,698400.0,509.0,10682444.0,1783983.0,1472233,3421273.0,1232740.0,1216033.0,2927653.0,3399681.0,195.69,70.51,69.56,4273.7692307692305
80,Sri Lanka,671989,16828.0,655158.0,3.0,6486117.0,21575842.0,21832143,39102567.0,16995787.0,14387077.0,33589253.0,39089813.0,181.9,79.06,66.93,4350.145933014354
81,Kuwait,662858,2570.0,660237.0,51.0,8455743.0,4380326.0,4268873,7814545.0,3410314.0,3283891.0,30927.0,7788956.0,180.53,78.79,75.87,3989.8115299334813
82,Dominican Republic,660095,4384.0,644785.0,10926.0,3740928.0,11056370.0,11228821,15484878.0,7184321.0,5923507.0,13464273.0,15475985.0,141.37,65.59,54.08,3471.3808353808354
83,Cyprus,642663,1287.0,633422.0,7954.0,9640118.0,1223387.0,1251488,1773485.0,687926.0,645292.0,428204.0,1767377.0,197.93,76.78,72.02,4741.625
84,Myanmar,633820,19490.0,614299.0,31.0,9941945.0,55227143.0,54179306,49316486.0,26473700.0,21803150.0,3800.0,48927388.0,89.98,48.3,39.78,2105.5283018867926
85,Palestine,621008,5404.0,615445.0,159.0,3078533.0,5345541.0,5250072,3694897.0,1995873.0,1756319.0,1655605.0,3620769.0,70.75,38.21,33.63,1931.0974930362117
86,Estonia,613891,2912.0,524990.0,85989.0,3659157.0,1321910.0,1326062,1971557.0,859186.0,842855.0,1971366.0,1971332.0,148.78,64.84,63.6,3255.0962800875272
87,Moldova,598673,11953.0,504142.0,82578.0,3216305.0,4013171.0,3272996,2123778.0,1083286.0,1054472.0,1334576.0,2118182.0,52.78,26.92,26.2,1353.1413881748072
88,Venezuela,551587,5845.0,545003.0,739.0,3359014.0,29266991.0,28301696,37860994.0,22157232.0,14287370.0,0.0,37861146.0,131.9,77.19,49.77,3289.1920199501246
89,Egypt,515645,24613.0,442182.0,48850.0,3693367.0,106156692.0,110990103,76716981.0,44531740.0,31722116.0,2078777.0,75906019.0,73.58,42.71,30.43,1733.4666666666667
90,Libya,507162,6437.0,500721.0,4.0,2483446.0,7040745.0,6812341,3415834.0,2201314.0,1125758.0,200655.0,3418436.0,49.09,31.63,16.18,1440.6304985337244
91,China,503302,5272.0,379053.0,118977.0,160000000.0,,1425887337,3263129000.0,1275541000.0,1240777000.0,3182669000.0,3250342496.0,225.94,88.32,85.91,4798.678038379531
92,Ethiopia,499531,7572.0,486531.0,5428.0,5459809.0,120812698.0,123379924,29373478.0,24486746.0,20958931.0,23047615.0,28971509.0,24.92,20.77,17.78,696.243626062323
93,Qatar,492534,686.0,491585.0,263.0,4065369.0,2979915.0,2695122,6607185.0,2593517.0,2593517.0,5261743.0,6598209.0,225.46,88.5,88.5,4873.508658008658
95,Honduras,470757,11104.0,,,1619676.0,10221247.0,10432860,11995048.0,5377876.0,4777999.0,229026.0,11950310.0,119.2,53.44,47.48,3044.994871794872
96,Armenia,446008,8717.0,435162.0,2129.0,3242901.0,2971966.0,2780469,2088962.0,1113472.0,948778.0,0.0,2079254.0,70.38,37.51,31.97,2018.8097982708935
97,Bosnia and Herzegovina,401384,16255.0,379084.0,6045.0,1884721.0,3249317.0,3233526,1924950.0,943394.0,846080.0,93862.0,1913728.0,58.98,28.91,25.93,1665.9232954545455
98,Oman,399449,4628.0,384669.0,10152.0,25000000.0,5323993.0,4576298,6986946.0,3242461.0,3021149.0,65081.0,6976429.0,133.76,62.08,57.84,2974.6391982182627
99,North Macedonia,346428,9638.0,336623.0,167.0,2216193.0,2081304.0,2093599,1836421.0,852584.0,835151.0,950551.0,1835527.0,88.18,40.94,40.1,2220.007556675063
100,Kenya,342810,5688.0,337040.0,82.0,3967062.0,56215221.0,54027487,17327143.0,11696182.0,8090985.0,11113785.0,17240992.0,31.51,21.27,14.71,825.171052631579
101,Zambia,340763,4047.0,335104.0,1612.0,3865993.0,19470234.0,20017675,3402612.0,2829929.0,2182849.0,1395616.0,3367782.0,17.98,14.96,11.54,509.9885386819484
102,Albania,334167,3595.0,328951.0,1621.0,1941032.0,2866374.0,2842321,2754244.0,1278902.0,1215199.0,1417691.0,2748980.0,95.87,44.52,42.3,2184.5479452054797
103,Botswana,329227,2800.0,325934.0,493.0,2026898.0,2441162.0,2630296,2517260.0,1454775.0,1292541.0,10435.0,2120207.0,105.01,60.69,53.92,2449.9529085872578
104,Luxembourg,297757,1133.0,288991.0,7633.0,4412567.0,642371.0,647599,1280144.0,480279.0,460292.0,1190164.0,1279632.0,201.66,75.66,72.51,4449.805739514349
105,Montenegro,286355,2797.0,283210.0,348.0,2697814.0,627950.0,627082,668206.0,289687.0,281571.0,600139.0,668465.0,106.39,46.12,44.83,2647.636815920398
106,Brunei,275220,225.0,243601.0,31394.0,717784.0,445431.0,449002,1068468.0,407945.0,404935.0,262753.0,1067347.0,241.99,92.39,91.71,6906.782857142857
107,Algeria,271378,6881.0,182749.0,81748.0,230861.0,45350148.0,44903225,13704895.0,7461932.0,6110712.0,170786.0,13697360.0,30.72,16.72,13.7,759.799504950495
108,Nigeria,266463,3155.0,259850.0,3458.0,5708974.0,216746934.0,218541212,31391732.0,21049754.0,9565143.0,3160328.0,30801024.0,14.85,9.96,4.52,375.5412371134021
109,Zimbabwe,261606,5652.0,254951.0,1003.0,2525756.0,15331428.0,16320537,9039729.0,5053114.0,3510256.0,8209882.0,8754303.0,59.9,33.48,23.26,1435.7623762376238
110,Uzbekistan,250567,1637.0,241486.0,7444.0,1377915.0,34382084.0,34627652,44177104.0,18633103.0,13852504.0,15127072.0,43932105.0,130.18,54.91,40.82,3730.743515850144
111,Mozambique,231994,2233.0,228805.0,956.0,1371127.0,33089461.0,32969517,26215793.0,14243939.0,13130997.0,295812.0,26239037.0,81.51,44.29,40.83,2130.0757180156656
113,Laos,217973,758.0,,,1233207.0,7481023.0,7529475,10048983.0,5593478.0,4455505.0,1888843.0,9982259.0,136.18,75.8,60.38,3597.648936170213
114,Iceland,208688,229.0,,,1996384.0,345393.0,372899,805469.0,309770.0,290193.0,258851.0,800598.0,218.41,84.0,78.69,4781.651982378855
115,Afghanistan,208545,7882.0,186088.0,14575.0,1188898.0,40754388.0,41128771,5751015.0,5082824.0,4420127.0,13742.0,5741998.0,14.44,12.76,11.1,366.76335877862596
116,Kyrgyzstan,206592,2991.0,196406.0,7195.0,1907195.0,6728271.0,6630623,2902889.0,1488749.0,1237551.0,2206056.0,2888903.0,43.8,22.46,18.67,1190.8579234972678
117,El Salvador,201785,4230.0,179410.0,18145.0,2610114.0,6550389.0,6336392,10418549.0,4582343.0,4281899.0,4964236.0,10357605.0,159.83,70.3,65.69,3972.3875
119,Trinidad and Tobago,187908,4326.0,183264.0,318.0,888936.0,1406585.0,1531044,1543684.0,746106.0,708762.0,1520081.0,1542653.0,110.0,53.17,50.5,2700.8722358722357
120,Maldives,185715,311.0,163687.0,21717.0,2213831.0,540985.0,523787,913264.0,398348.0,371439.0,778533.0,913251.0,168.0,73.28,68.33,4168.620347394541
121,Ghana,171112,1462.0,169636.0,14.0,2527319.0,32395450.0,33475870,12637542.0,8793591.0,4867214.0,180950.0,12605420.0,39.83,27.71,15.34,1100.3628808864266
122,Namibia,170741,4088.0,166452.0,201.0,1062663.0,2633874.0,2567012,834756.0,450833.0,383923.0,234709.0,831696.0,32.26,17.42,14.84,864.1048387096774
