Tytuł,Cena,Ekran:,Procesor,RAM,Grafika:,Dysk SSD,System operacyjny,Firma procesora
"Laptop Apple MacBook Air 2024 13,6"" M3 16GB RAM 256GB Dysk macOS Księżycowa Poświata",5199,"13,6 "", 2560 x 1664 pikseli",Apple M3,16,Apple M3 (8-rdzeni),256,macOS Sonoma,Apple
"Laptop 2w1 HP Spectre x360 14-ea1452nw OLED 13,5'' i7-1195G7 16GB RAM 1TB Dysk SSD Win11 Pro Czarno-niebieski",6499,"13,5 "", ekran dotykowy 3000 x 2000 pikseli",Intel® Core™ i7 11gen 1195G7,16,Intel® Iris Xe Graphics,1024,Windows 11 Professional,Intel
"Laptop gamingowy MSI Alpha 17 C7VG-035XPL 17,3"" 240Hz R9 7945HX 16GB RAM 1TB Dysk SSD RTX4070 DLSS3 Czarny",7399,"17,3 "", 2560 x 1440 pikseli 240 Hz",AMD Ryzen™ 9 7945HX,16,NVIDIA® GeForce RTX 4070 + AMD Radeon™ 610M,1024,Brak,AMD
"Laptop Lenovo Yoga Slim 7 15ILL9 Aura Edition 15,3"" Ultra 7 256V 16GB RAM 1TB Dysk SSD Win11 Szary",6199,"15,3"", ekran dotykowy 2880 x 1800 pikseli 120 Hz",Intel® Core™ Ultra 7 14gen 256V,16,Intel® Arc™ Graphics 140V,1024,Windows 11 Home,Intel
"Laptop 2w1 Acer Swift Go 14 SFG14-71T-764N 14"" i7-13700H 16GB RAM 1TB Dysk SSD Win11 Srebrny",5349,"14 "", ekran dotykowy 1920 x 1200 pikseli 60 Hz",Intel® Core™ i7 13gen 13700H,16,Intel® Iris Xe Graphics,1024,Windows 11 Home,Intel
"Laptop gamingowy MSI Sword 16 HX B14VGKG-024XPL 16"" 240Hz i7-14700HX 16GB RAM 1TB Dysk SSD RTX4070 DLSS3 Szary",7599,"16 "", 2560 x 1600 pikseli 240 Hz",Intel® Core™ i7 14gen 14700HX,16,NVIDIA® GeForce RTX™ 4070 + Intel UHD Graphics,1024,Brak,Intel
Laptop Dell Inspiron 5625-6426 16' R5 5625U 16GB RAM 512GB Dysk SSD Win11 Srebrny,3999,"16 "", 1920 x 1200 pikseli",AMD Ryzen™ 5 5625U,16,AMD Radeon™ Graphics,512,Windows 11 Home,AMD
"Laptop gamingowy MSI Raider GE68 HX 14VIG-407PL 16"" 120Hz i9-14900HX 32GB RAM 2TB Dysk SSD RTX4090 DLSS3 Win11 Czarny",15999,"16 "", 3840 x 2400 pikseli 120 Hz",Intel® Core™ i9 14gen 14900HX,32,NVIDIA® GeForce RTX™ 4090 + Intel UHD Graphics,2048,Windows 11 Home,Intel
"Laptop gamingowy Gigabyte AORUS 15 2024 BKG-13EE754SH 15,6"" 165Hz Ultra 7 155H 16GB RAM 1TB Dysk SSD RTX4060 DLSS3 Win11 Czarny",6249,"15,6 "", 2560 x 1440 pikseli 165 Hz",Intel® Core™ Ultra 7 14gen 155H,16,NVIDIA® GeForce RTX 4060 + Intel Arc Graphics,1024,Windows 11 Home,Intel
Laptop 2w1 ASUS ZenBook 14 UX3402VA-KN592W OLED 14'' 90Hz i7-13700H 16GB RAM 1TB Dysk SSD Win11 Niebieski,5199,"14 "", ekran dotykowy 2880 x 1800 pikseli 90 Hz",Intel® Core™ i7 13gen 13700H,16,Intel® Iris Xe Graphics,1024,Windows 11 Home,Intel
"Apple MacBook Pro 2024 14,2"" M4 Pro 24GB RAM 1TB Dysk macOS Srebrny",12499,"14,2 "", 3024 x 1964 pikseli 120 Hz",Apple M4 Pro,24,Apple M4 Pro (20-rdzeni),1024,macOS Sonoma,Apple
"Laptop biznesowy Dell Latitude 3550 15,6"" i5-1335U 16GB RAM 512GB Dysk SSD Win11 Pro Szary",3949,"15,6 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ i5 13gen 1335U,16,Intel® Iris Xe Graphics,512,Windows 11 Professional,Intel
"Laptop gamingowy Acer Nitro V 15 ANV15-41-R8XK 15,6"" 144Hz R5 7535HS 16GB RAM 512GB Dysk SSD RTX4050 DLSS3 Win11 Czarny",3979,"15,6 "", 1920 x 1080 pikseli 144 Hz",AMD Ryzen™ 5 7535HS,16,NVIDIA® GeForce RTX™ 4050 + AMD Radeon™ 660M,512,Windows 11 Home,AMD
"Laptop biznesowy HP ProBook 450 G9 15,6"" i5-1235U 16GB RAM 512GB Dysk SSD Win11 Pro Srebrny",3149,"15,6 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ i5 12gen 1235U,16,Intel® Iris Xe Graphics,512,Windows 11 Professional,Intel
"Laptop biznesowy HP 255 G9 15,6"" R3 5425U 8GB RAM 512GB Dysk SSD Win11 Pro Srebrny",1699,"15,6 "", 1920 x 1080 pikseli",AMD Ryzen™ 3 5425U,8,AMD Radeon™ Graphics,512,Windows 11 Professional,AMD
"Laptop ultrabook Acer Swift Go 14 SFG14-63-R19Q OLED 14"" R5 8645HS 16GB RAM 512GB Dysk SSD Win11 Szary",3499,"14 "", 2880 x 1800 pikseli",AMD Ryzen™ 5 8645HS,16,AMD Radeon™ 760M,512,Windows 11 Home,AMD
"Laptop Lenovo ThinkBook 16 G6 IRL 16"" i5-13420H 16GB RAM 512GB Dysk SSD Win11 Pro Szary",3799,"16 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ i5 13gen 13420H,16,Intel® UHD Graphics,512,Windows 11 Professional,Intel
"Apple MacBook Air 13,6"" M2 16GB RAM 256GB Dysk macOS Srebrny",4499,"13,6 "", 2560 x 1664 pikseli",Apple M2,16,Apple M2 (8-rdzeni),256,macOS Sonoma,Apple
"Laptop Lenovo ThinkBook 16 G6 IRL 16"" i5-13420H 16GB RAM 512GB Dysk SSD Win11 Pro Szary",3799,"16 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ i5 13gen 13420H,16,Intel® UHD Graphics,512,Windows 11 Professional,Intel
"Apple MacBook Air 13,6"" M2 16GB RAM 256GB Dysk macOS Srebrny",4499,"13,6 "", 2560 x 1664 pikseli",Apple M2,16,Apple M2 (8-rdzeni),256,macOS Sonoma,Apple
"Laptop 2w1 Microsoft Surface Pro Copilot+ PC 13"" Snapdragon X Plus 16GB RAM 256GB Dysk SSD Win11 Platynowy",5399,"13 "", ekran dotykowy 2880 x 1920 pikseli 120 Hz",Qualcomm® Snapdragon® X Plus,16,Qualcomm® Adreno™ Graphics,256,Windows 11 Home,Qualcomm
"Apple MacBook Air M1 13,3"" M1 16GB RAM 256GB Dysk macOS Srebrny",4799,"13,3 "", 2560 x 1600 pikseli",Apple M1,16,Apple M1 (7-rdzeni),256,macOS Sonoma,Apple
"Laptop gamingowy Acer Nitro V 15 ANV15-51-5436 15,6"" 144Hz i5-13420H 16GB RAM 512GB Dysk SSD RTX4050 DLSS3 Czarny",4999,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i5 13gen 13420H,16,NVIDIA® GeForce RTX™ 4050 + Intel UHD Graphics,512,Brak,Intel
"Apple MacBook Pro M2 13,3"" M2 8GB RAM 512GB Dysk macOS Srebrny US",7999,"13,3 "", 2560 x 1600 pikseli",Apple M2,8,Apple M2 (10-rdzeni),512,macOS Sonoma,Apple
"Laptop gamingowy HP OMEN 17-ck2222nw 17,3'' 240Hz i7-13700HX 32GB RAM 1TB Dysk SSD RTX4090 DLSS3 Win11 Czarny",12999,"17,3 "", 2560 x 1440 pikseli 240 Hz",Intel® Core™ i7 13gen 13700HX,32,NVIDIA® GeForce RTX™ 4090 + Intel UHD Graphics,1024,Windows 11 Home,Intel
"Laptop ASUS Vivobook 15 X1504VA-BQ1039 15,6"" i5-1335U 16GB RAM 512GB Dysk SSD Niebieski",2199,"15,6 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ i5 13gen 1335U,16,Intel® Iris Xe Graphics,512,Brak,Intel
"Laptop Acer Extensa 15 EX215-55-58VV 15,6"" i5-1235U 16GB RAM 1TB Dysk SSD Win11 Szary",2799,"15,6 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ i5 12gen 1235U,16,Intel® Iris Xe Graphics,1024,Windows 11 Home,Intel
"Apple MacBook Air 2024 15,3"" M3 8GB RAM 512GB Dysk macOS Księżycowa Poświata",6299,"15,3"", 2880 x 1864 pikseli",Apple M3,8,Apple M3 (10-rdzeni),512,macOS Sonoma,Apple
"Laptop 2w1 Lenovo Yoga Slim 7x OLED 14,5"" Snapdragon X Elite X1E-78-100 32GB RAM 512GB Dysk SSD Win11 Niebieski",5999,"14,5 "", ekran dotykowy 2944 x 1840 pikseli 90 Hz",Qualcomm® Snapdragon® X Elite X1E-78-100,32,Qualcomm® Adreno™ Graphics,512,Windows 11 Home,Qualcomm
"Apple MacBook Air 2024 13,6"" M3 16GB RAM 256GB Dysk macOS Srebrny",5999,"13,6 "", 2560 x 1664 pikseli",Apple M3,16,Apple M3 (10-rdzeni),256,macOS Sonoma,Apple
"Laptop gamingowy ASUS ROG Zephyrus G14 2024 GA403UV-QS078 OLED 14"" 120Hz R9 8945HS 16GB RAM 1TB Dysk SSD RTX4060 DLSS3 Szary",9999,"14 "", 2880 x 1800 pikseli 120 Hz",AMD Ryzen™ 9 8945HS,16,NVIDIA® GeForce RTX 4060 + AMD Radeon™ 780M,1024,Brak,AMD
"Laptop ASUS VivoBook 15 A1504VA-BQ905W 15,6"" i5-1335U 16GB RAM 512GB Dysk SSD Win11 Niebieski",2599,"15,6 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ i5 13gen 1335U,16,Intel® Iris Xe Graphics,512,Windows 11 Home,Intel
"Laptop gamingowy Acer Nitro 5 AN515-58-5876 15,6"" 144Hz i5-12450H 16GB RAM 512GB Dysk SSD RTX4060 DLSS3 Czarny",5499,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i5 12gen 12450H,16,NVIDIA® GeForce RTX™ 4060 + Intel UHD Graphics,512,Brak,Intel
"Laptop biznesowy Lenovo ThinkPad X1 Carbon Gen 12 14"" Ultra 5 125U 16GB RAM 512GB Dysk SSD Win11 Pro Czarny",9999,"14 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ Ultra 5 14gen 125U,16,Intel® Graphics,512,Windows 11 Professional,Intel
"Laptop gamingowy Acer Nitro 5 AN515-58-734J 15,6"" 144Hz i7-12650H 16GB RAM 1TB Dysk SSD RTX4060 DLSS3 Czarny",5699,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i7 12gen 12650H,16,NVIDIA® GeForce RTX™ 4060 + Intel UHD Graphics,1024,Brak,Intel
"Laptop Lenovo ThinkBook 16 G7 IML 16"" Ultra 5 125U 16GB RAM 512GB Dysk SSD Win11 Pro Szary",3999,"16 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ Ultra 5 14gen 125U,16,Intel® Graphics,512,Windows 11 Professional,Intel
"Laptop gamingowy Acer Nitro V 15 ANV15-41-R8J1 15,6"" 144Hz R7 7735HS 16GB RAM 1TB Dysk SSD RTX4060 DLSS3 Czarny",4799,"15,6 "", 1920 x 1080 pikseli 144 Hz",AMD Ryzen™ 7 7735HS,16,NVIDIA® GeForce RTX™ 4060 + AMD Radeon™ 680M,1024,Windows 11 Home,AMD
Laptop ultrabook ASUS Zenbook 14 OLED UX3405MA-PP174W 14'' 120Hz Ultra 5 125H 16GB RAM 1TB Dysk SSD Win11 Srebrny,4999,"14 "", 2880 x 1800 pikseli 120 Hz",Intel® Core™ Ultra 5 14gen 125H,16,Intel® Arc™ Graphics,1024,Windows 11 Home,Intel
"Apple MacBook Pro 2024 16,2"" M4 Max 48GB RAM 1TB Dysk macOS Gwiezdna Czerń",21499,"16,2 "", 3456 x 2234 pikseli 120 Hz",Apple M4 Max,48,Apple M4 Max (40-rdzeni),1024,macOS Sonoma,Apple
"Laptop biznesowy Lenovo ThinkBook 16 G6 IRL 16"" i3-1315U 8GB RAM 512GB Dysk SSD Win11 Pro Szary",2599,"16 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ i3 13gen 1315U,8,Intel® UHD Graphics,512,Windows 11 Professional,Intel
"Apple MacBook Pro 2024 16,2"" M4 Max 48GB RAM 1TB Dysk macOS Gwiezdna Czerń",21499,"16,2 "", 3456 x 2234 pikseli 120 Hz",Apple M4 Max,48,Apple M4 Max (40-rdzeni),1024,macOS Sonoma,Apple
"Laptop biznesowy Lenovo ThinkBook 16 G6 IRL 16"" i3-1315U 8GB RAM 512GB Dysk SSD Win11 Pro Szary",2599,"16 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ i3 13gen 1315U,8,Intel® UHD Graphics,512,Windows 11 Professional,Intel
"Laptop biznesowy Lenovo V17 G4 IRU 17,3"" i5-1335U 8GB RAM 512GB Dysk SSD Win11 Pro Szary",3549,"17,3 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ i5 13gen 1335U,8,Intel® Iris Xe Graphics,512,Windows 11 Professional,Intel
"Laptop ASUS Vivobook S 15 OLED S5507QA-MA007W 15,6"" 120Hz Snapdragon X Plus X1P-42-100 16GB RAM 1TB Dysk SSD Win11 Srebrny",3999,"15,6 "", 2880 x 1620 pikseli 120 Hz",Qualcomm® Snapdragon® X Plus X1P-42-100,16,Qualcomm® Adreno™ Graphics,1024,Windows 11 Home,Qualcomm
"Laptop Lenovo ThinkPad E16 Gen 2 16"" Ultra 5 125U 16GB RAM 512GB Dysk SSD Win11 Pro Czarny",4499,"16 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ Ultra 5 14gen 125U,16,Intel® Graphics,512,Windows 11 Professional,Intel
"Apple MacBook Air 2024 15,3"" M3 8GB RAM 512GB Dysk macOS Gwiezdna Szarość",6299,"15,3"", 2880 x 1864 pikseli",Apple M3,8,Apple M3 (10-rdzeni),512,macOS Sonoma,Apple
"Apple MacBook Air 2024 15,3"" M3 8GB RAM 512GB Dysk macOS Północ",6299,"15,3"", 2880 x 1864 pikseli",Apple M3,8,Apple M3 (10-rdzeni),512,macOS Sonoma,Apple
"Laptop gamingowy MSI Stealth 14 AI Studio A1VGG-024PL OLED 14"" 120Hz Ultra 9 185H 32GB RAM 2TB Dysk SSD RTX4070 DLSS3 Win11 Niebieski",10999,"14 "", 2880 x 1800 pikseli 120 Hz",Intel® Core™ Ultra 9 14gen 185H,32,NVIDIA® GeForce RTX™ 4070 + Intel Iris Xe Graphics,2048,Windows 11 Home,Intel
"Laptop biznesowy Dell Latitude 3540 15,6"" i5-1345U 16GB RAM 512GB Dysk SSD Win11 Pro Szary",4099,"15,6 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ i5 13gen 1345U,16,Intel® Iris Xe Graphics,512,Windows 11 Professional,Intel
"Laptop gamingowy Gigabyte AERO 16 OLED 2023 BSF-H3EE954SH 16"" i7-13620H 16GB RAM 1TB Dysk SSD RTX4070 DLSS3 Win11 Srebrny + Zestaw AKC",6499,"16 "", 3840 x 2400 pikseli 60 Hz",Intel® Core™ i7 13gen 13620H,16,NVIDIA® GeForce RTX 4070 + Intel UHD Graphics,1024,Windows 11 Home,Intel
"Apple MacBook Air 13,6"" M2 16GB RAM 256GB Dysk macOS Księżycowa Poświata",5299,"13,6 "", 2560 x 1664 pikseli",Apple M2,16,Apple M2 (10-rdzeni),256,macOS Sonoma,Apple
"Laptop Acer Nitro V 16 ANV16-41 16"" 165Hz R5 8645HS 16GB RAM 1TB Dysk SSD RTX4050 DLSS3 Win11 Czarny",4999,"16 "", 1920 x 1200 pikseli 165 Hz",AMD Ryzen™ 5 8645HS,16,NVIDIA® GeForce RTX™ 4050 + AMD Radeon™ 760M,1024,Windows 11 Home,AMD
"Laptop Acer Extensa 15 EX215-55-EP 15,6"" i5-1235U 16GB RAM 512GB Dysk SSD Win11 Szary",2599,"15,6 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ i5 12gen 1235U,16,Intel® UHD Graphics,512,Windows 11 Home,Intel
"Laptop gamingowy MSI Katana 15 B13VFK-1437XPL 15,6"" 144Hz i7-13620H 16GB RAM 1TB Dysk SSD RTX4060 DLSS3 Czarny",6198,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i7 13gen 13620H,16,NVIDIA® GeForce RTX™ 4060 + Intel UHD Graphics,1024,Brak,Intel
Laptop gamingowy ASUS TUF Gaming A16 2024 FA608WV-R7321W 16'' 165Hz Ryzen AI 9 HX 370 32GB RAM 1TB Dysk SSD RTX4060 Win11 Szary,7299,"16 "", 2560 x 1600 pikseli 165 Hz",AMD Ryzen™ AI 9 HX 370,32,NVIDIA® GeForce RTX 4060 + AMD Radeon™ 890M,1024,Windows 11 Home,AMD
"Laptop gamingowy MSI Sword 16 HX B14VGKG-416XPL 16"" 240Hz i7-14700HX 16GB RAM 1TB Dysk SSD RTX4070 DLSS3 Szary + Zestaw AKC",7599,"16 "", 2560 x 1600 pikseli 240 Hz",Intel® Core™ i7 14gen 14700HX,16,NVIDIA® GeForce RTX™ 4070 + Intel UHD Graphics,1024,Brak,Intel
"Laptop MSI Modern 15 H C13M-202PL 15,6"" i5-13420H 16GB RAM 512GB Dysk SSD Win11 Czarny",2999,"15,6 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ i5 13gen 13420H,16,Intel® UHD Graphics,512,Windows 11 Home,Intel
"Laptop gamingowy HP OMEN 16-k0122nw 16,1'' 165Hz i7-12700H 16GB RAM 1TB Dysk SSD RTX3070Ti Win11 Czarny",6999,"16,1 "", 2560 x 1440 pikseli 165 Hz",Intel® Core™ i7 12gen 12700H,16,NVIDIA® GeForce RTX™ 3070 Ti + Intel Iris Xe Graphics,1024,Windows 11 Home,Intel
"Apple MacBook Pro 2024 14,2"" M4 24GB RAM 1TB Dysk macOS Srebrny",10499,"14,2 "", 3024 x 1964 pikseli 120 Hz",Apple M4,24,Apple M4 (10-rdzeni),1024,macOS Sonoma,Apple
"Laptop 2w1 ASUS ROG Flow X16 2023 GV601VI-NL008W 16"" 240Hz i9-13900H 16GB RAM 1TB Dysk SSD RTX4070 Win11 Czarny",9499,"16 "", ekran dotykowy 2560 x 1600 pikseli 240 Hz",Intel® Core™ i9 13gen 13900H,16,NVIDIA® GeForce RTX™ 4070 + Intel Iris Xe Graphics,1024,Windows 11 Home,Intel
"Laptop 2w1 Microsoft Surface Laptop Go 2 12,4"" i5-1135G7 8GB RAM 128GB Dysk SSD Win11 Platynowy",3696,"12,4 "", ekran dotykowy 1536 x 1024 pikseli",Intel® Core™ i5 1135G7,8,Intel® Iris Xe Graphics,128,Windows 11 Home,Intel
"Laptop gamingowy HP OMEN 17-ck2212nw 17,3'' 240Hz i7-13700HX 32GB RAM 1TB Dysk SSD RTX4080 DLSS3 Win11 Czarny",10999,"17,3 "", 2560 x 1440 pikseli 240 Hz",Intel® Core™ i7 13gen 13700HX,32,NVIDIA® GeForce RTX™ 4080 + Intel UHD Graphics,1024,Windows 11 Home,Intel
"Laptop 2w1 Microsoft Surface Laptop Go 2 12,4"" i5-1135G7 8GB RAM 128GB Dysk SSD Win11 Platynowy",3696,"12,4 "", ekran dotykowy 1536 x 1024 pikseli",Intel® Core™ i5 1135G7,8,Intel® Iris Xe Graphics,128,Windows 11 Home,Intel
"Laptop gamingowy HP OMEN 17-ck2212nw 17,3'' 240Hz i7-13700HX 32GB RAM 1TB Dysk SSD RTX4080 DLSS3 Win11 Czarny",10999,"17,3 "", 2560 x 1440 pikseli 240 Hz",Intel® Core™ i7 13gen 13700HX,32,NVIDIA® GeForce RTX™ 4080 + Intel UHD Graphics,1024,Windows 11 Home,Intel
"Laptop Lenovo IdeaPad Slim 3 15ABR8 15,6"" R5 7430U 8GB RAM 512GB Dysk SSD Win11 Szary",1999,"15,6 "", 1920 x 1080 pikseli 60 Hz",AMD Ryzen™ 5 7430U,8,AMD Radeon™ Graphics,512,Windows 11 Home,AMD
"Laptop biznesowy Lenovo V15 G3 IAP 15,6"" i5-1235U 8GB RAM 256GB Dysk SSD Win11 Pro Czarny",2949,"15,6 "", 1920 x 1080 pikseli",Intel® Core™ i5 12gen 1235U,8,Intel® Iris Xe Graphics,256,Windows 11 Professional,Intel
"Laptop gamingowy ASUS TUF Gaming F15 FX506LHB-HN323W 15,6"" 144Hz i5-10300H 8GB RAM 512GB Dysk SSD GTX1650 Win11 Czarny",3849,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i5 10gen 10300H,8,NVIDIA® GeForce GTX™ 1650 + Intel UHD Graphics,512,Windows 11 Home,Intel
"Apple MacBook Air 2024 15,3"" M3 16GB RAM 512GB Dysk macOS Srebrny",6999,"15,3"", 2880 x 1864 pikseli",Apple M3,16,Apple M3 (10-rdzeni),512,macOS Sonoma,Apple
"Apple MacBook Air 13,6"" M2 8GB RAM 512GB Dysk macOS Srebrny",4799,"13,6 "", 2560 x 1664 pikseli",Apple M2,8,Apple M2 (10-rdzeni),512,macOS Sonoma,Apple
"Laptop biznesowy Lenovo ThinkPad L15 Gen 4 15,6"" R5 7530U 16GB RAM 512GB Dysk SSD Win11 Pro Czarny",5599,"15,6 "", 1920 x 1080 pikseli",AMD Ryzen™ 5 7530U,16,AMD Radeon™ Graphics,512,Windows 11 Professional,AMD
"Laptop gamingowy MSI Katana 15 B12VFK-083XPL 15,6""144Hz i7-12650H 16GB RAM 1TB Dysk SSD RTX4060 DLSS3 Czarny",6499,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i7 12gen 12650H,16,NVIDIA® GeForce RTX™ 4060 + Intel UHD Graphics,1024,Brak,Intel
"Apple MacBook Pro 2024 14,2"" M4 16GB RAM 1TB Dysk macOS Srebrny",9499,"14,2 "", 3024 x 1964 pikseli 120 Hz",Apple M4,16,Apple M4 (10-rdzeni),1024,macOS Sonoma,Apple
"Laptop gamingowy Acer Nitro V 15 ANV15-41-R5SK 15,6"" 144Hz R5 7535HS 16GB RAM 1TB Dysk SSD RTX4050 DLSS3 Win11 Czarny",4349,"15,6 "", 1920 x 1080 pikseli 144 Hz",AMD Ryzen™ 5 7535HS,16,NVIDIA® GeForce RTX™ 4050 + AMD Radeon™ 660M,1024,Windows 11 Home,AMD
"Apple MacBook Air M1 13,3"" M1 8GB RAM 256GB Dysk macOS Srebrny US",4499,"13,3 "", 2560 x 1600 pikseli",Apple M1,8,Apple M1 (7-rdzeni),256,macOS Sonoma,Apple
"Apple MacBook Air 2024 15,3"" M3 8GB RAM 512GB Dysk macOS Srebrny",6299,"15,3"", 2880 x 1864 pikseli",Apple M3,8,Apple M3 (10-rdzeni),512,macOS Sonoma,Apple
"Laptop biznesowy Lenovo ThinkPad T14s Gen 5 14"" Ultra 5 125U 16GB RAM 512GB Dysk SSD Win11 Pro Czarny",6999,"14 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ Ultra 5 14gen 125U,16,Intel® Graphics,512,Windows 11 Professional,Intel
"Laptop gamingowy Lenovo Legion Slim 5 16AHP9 16"" 165Hz R7 8845HS 32GB RAM 512GB Dysk SSD RTX4060 DLSS3 Win11 Szary",6899,"16 "", 2560 x 1600 pikseli 165 Hz",AMD Ryzen™ 7 8845HS,32,NVIDIA® GeForce RTX™ 4060 + AMD Radeon™ 780M,512,Windows 11 Home,AMD
"Laptop 2w1 Microsoft Surface Laptop Copilot+ PC 13,8"" Snapdragon X Plus 16GB RAM 256GB Dysk SSD Win11 Platynowy",5399,"13,8"", ekran dotykowy 2304 x 1536 pikseli 120 Hz",Qualcomm® Snapdragon® X Plus,16,Qualcomm® Adreno™ Graphics,256,Windows 11 Home,Qualcomm
"Apple MacBook Pro 2023 14,2"" M3 8GB RAM 512GB Dysk macOS Srebrny",7999,"14,2 "", 3024 x 1964 pikseli 120 Hz",Apple M3,8,Apple M3 (10-rdzeni),512,macOS Sonoma,Apple
"Apple MacBook Pro 2023 14,2"" M3 Pro 18GB RAM 1TB Dysk macOS Srebrny",12499,"14,2 "", 3024 x 1964 pikseli 120 Hz",Apple M3 Pro,18,Apple M3 Pro (18-rdzeni),1024,macOS Sonoma,Apple
Laptop 2w1 HP Spectre x360 16-f1232nw OLED 16'' i7-1260P 16GB RAM 1TB Dysk SSD ARC A370M Win11 Pro Czarno-niebieski,4999,"16 "", ekran dotykowy 3840 x 2400 pikseli",Intel® Core™ i7 12gen 1260P,16,Intel® Arc™ A370M + Intel Iris Xe Graphics,1024,Windows 11 Professional,Intel
"Apple MacBook Pro 2024 16,2"" M4 Pro 24GB RAM 512GB Dysk macOS Srebrny",12999,"16,2 "", 3456 x 2234 pikseli 120 Hz",Apple M4 Pro,24,Apple M4 Pro (20-rdzeni),512,macOS Sonoma,Apple
"Apple MacBook Air 13,6"" M2 8GB RAM 512GB Dysk macOS Gwiezdna Szarość US",4799,"13,6 "", 2560 x 1664 pikseli",Apple M2,8,Apple M2 (8-rdzeni),512,macOS Sonoma,Apple
"Apple MacBook Air 13,3"" M1 16GB RAM 512GB Dysk macOS Srebrny",6399,"13,3 "", 2560 x 1600 pikseli",Apple M1,16,Apple M1 (7-rdzeni),512,macOS Sonoma,Apple
"Apple MacBook Air 13,6"" M2 8GB RAM 512GB Dysk macOS Gwiezdna Szarość US",4799,"13,6 "", 2560 x 1664 pikseli",Apple M2,8,Apple M2 (8-rdzeni),512,macOS Sonoma,Apple
"Apple MacBook Air 13,3"" M1 16GB RAM 512GB Dysk macOS Srebrny",6399,"13,3 "", 2560 x 1600 pikseli",Apple M1,16,Apple M1 (7-rdzeni),512,macOS Sonoma,Apple
"Apple MacBook Pro 2024 14,2"" M4 Max 36GB RAM 1TB Dysk macOS Srebrny",16499,"14,2 "", 3024 x 1964 pikseli 120 Hz",Apple M4 Max,36,Apple M4 Max (32-rdzenie),1024,macOS Sonoma,Apple
"Laptop biznesowy Lenovo V17 G4 IRU 17,3"" i5-13420H 16GB RAM 512GB Dysk SSD Win11 Pro Szary",4799,"17,3 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ i5 13gen 13420H,16,Intel® UHD Graphics,512,Windows 11 Professional,Intel
"Laptop Lenovo ThinkPad T16 Gen 3 16"" Ultra 7 155U 32GB RAM 1TB Dysk SSD Win11 Pro Czarny",8699,"16 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ Ultra 7 14gen 155U,32,Intel® Graphics,1024,Windows 11 Professional,Intel
"Laptop ultrabook MSI Prestige 14 AI Evo C1MG-041PL 14"" 144Hz Ultra 5 125H 16GB RAM 1TB Dysk SSD Win11 Szary",3999,"14 "", 1920 x 1200 pikseli 144 Hz",Intel® Core™ Ultra 5 14gen 125H,16,Intel® Arc™ Graphics,1024,Windows 11 Home,Intel
"Laptop gamingowy Dell G16 7630-5383 16"" 240Hz i7-13650HX 32GB RAM 1TB Dysk SSD RTX4060 DLSS3 Win11 Czarny",8799,"16 "", 2560 x 1600 pikseli 240 Hz",Intel® Core™ i7 13gen 13650HX,32,NVIDIA® GeForce RTX™ 4060 + Intel UHD Graphics,1024,Windows 11 Home,Intel
"Laptop biznesowy Lenovo ThinkPad L13 Gen 4 13,3"" i5-1335U 8GB RAM 512GB Dysk SSD Win11 Pro Czarny",3749,"13,3 "", 1920 x 1200 pikseli",Intel® Core™ i5 13gen 1335U,8,Intel® Iris Xe Graphics,512,Windows 11 Professional,Intel
"Laptop biznesowy Dell Latitude 3450 14"" Core i5-1335U 16GB RAM 512GB Dysk SSD Win11 Pro Szary",3949,"14 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ i5 13gen 1335U,16,Intel® Iris Xe Graphics,512,Windows 11 Professional,Intel
"Laptop biznesowy HP ProBook 450 G9 15,6"" i7-1255U 16GB RAM 512GB Dysk SSD Win11 Pro Srebrny",3549,"15,6 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ i7 12gen 1255U,16,Intel® Iris Xe Graphics,512,Windows 11 Professional,Intel
