Date_reported,Country,New_deaths,New_cases,daily_vaccinations,Year,Month,Day,Day_of_Week
2021-02-03,Pakistan,63.0,1220.0,3404.0,2021,2,3,2
2021-02-04,Pakistan,56.0,1384.0,3404.0,2021,2,4,3
2021-02-04,Germany,0.0,0.0,114888.0,2021,2,4,3
2021-02-04,United States,2947.0,121330.0,1565294.0,2021,2,4,3
2021-02-05,United States,3280.0,108669.0,1628332.0,2021,2,5,4
2021-02-05,Germany,0.0,0.0,120577.0,2021,2,5,4
2021-02-05,Pakistan,31.0,1508.0,3404.0,2021,2,5,4
2021-02-06,Pakistan,53.0,1302.0,3404.0,2021,2,6,5
2021-02-06,Germany,0.0,0.0,121448.0,2021,2,6,5
2021-02-06,United States,3127.0,122620.0,1668641.0,2021,2,6,5
2021-02-07,United States,3399.0,124827.0,1666449.0,2021,2,7,6
2021-02-07,Germany,2268.0,64596.0,120926.0,2021,2,7,6
2021-02-07,Pakistan,28.0,1286.0,3404.0,2021,2,7,6
2021-02-08,Pakistan,53.0,1346.0,3404.0,2021,2,8,0
2021-02-08,Germany,0.0,0.0,119364.0,2021,2,8,0
2021-02-08,United States,2803.0,110180.0,1694255.0,2021,2,8,0
2021-02-09,United States,1771.0,92931.0,1733933.0,2021,2,9,1
2021-02-09,Germany,0.0,0.0,119633.0,2021,2,9,1
2021-02-09,Pakistan,59.0,1037.0,3404.0,2021,2,9,1
2021-02-10,Pakistan,40.0,1008.0,3404.0,2021,2,10,2
2021-02-10,Germany,0.0,0.0,118556.0,2021,2,10,2
2021-02-10,United States,1668.0,80726.0,1757664.0,2021,2,10,2
2021-02-11,United States,2470.0,91417.0,1766289.0,2021,2,11,3
2021-02-11,Germany,0.0,0.0,119999.0,2021,2,11,3
2021-02-11,Pakistan,62.0,1072.0,3439.0,2021,2,11,3
2021-02-12,Pakistan,57.0,1502.0,3474.0,2021,2,12,4
2021-02-12,Germany,0.0,0.0,121236.0,2021,2,12,4
2021-02-12,United States,2813.0,98339.0,1799027.0,2021,2,12,4
2021-02-13,United States,3252.0,99548.0,1823847.0,2021,2,13,5
2021-02-13,Germany,0.0,0.0,123189.0,2021,2,13,5
2021-02-13,Pakistan,33.0,1270.0,3509.0,2021,2,13,5
2021-02-14,Pakistan,58.0,1262.0,3544.0,2021,2,14,6
2021-02-14,Germany,1680.0,50827.0,124887.0,2021,2,14,6
2021-02-14,United States,5061.0,97431.0,1845001.0,2021,2,14,6
2021-02-15,United States,3316.0,85221.0,1787634.0,2021,2,15,0
2021-02-15,Germany,0.0,0.0,127224.0,2021,2,15,0
2021-02-15,Pakistan,31.0,1404.0,3579.0,2021,2,15,0
2021-02-16,Pakistan,26.0,1048.0,3614.0,2021,2,16,1
2021-02-16,South Africa,195.0,1102.0,0.0,2021,2,16,1
2021-02-16,Germany,0.0,0.0,127251.0,2021,2,16,1
2021-02-16,United States,1572.0,67413.0,1737266.0,2021,2,16,1
2021-02-17,United States,1387.0,58066.0,1688810.0,2021,2,17,2
2021-02-17,Japan,87.0,1393.0,0.0,2021,2,17,2
2021-02-17,Germany,0.0,0.0,126734.0,2021,2,17,2
2021-02-17,Pakistan,47.0,747.0,3649.0,2021,2,17,2
2021-02-17,South Africa,219.0,1210.0,1130.0,2021,2,17,2
2021-02-18,Pakistan,56.0,1165.0,3846.0,2021,2,18,3
2021-02-18,South Africa,165.0,2320.0,1130.0,2021,2,18,3
2021-02-18,Germany,0.0,0.0,126803.0,2021,2,18,3
2021-02-18,United States,1407.0,56871.0,1610358.0,2021,2,18,3
2021-02-18,Japan,94.0,1559.0,486.0,2021,2,18,3
2021-02-19,United States,2181.0,63770.0,1522140.0,2021,2,19,4
2021-02-19,Japan,78.0,1344.0,2457.0,2021,2,19,4
2021-02-19,Germany,0.0,0.0,127210.0,2021,2,19,4
2021-02-19,Pakistan,52.0,1272.0,4043.0,2021,2,19,4
2021-02-19,South Africa,230.0,2327.0,2175.0,2021,2,19,4
2021-02-20,Pakistan,39.0,1245.0,4240.0,2021,2,20,5
2021-02-20,South Africa,151.0,1911.0,2604.0,2021,2,20,5
2021-02-20,Germany,0.0,0.0,127877.0,2021,2,20,5
2021-02-20,United States,2247.0,68568.0,1498060.0,2021,2,20,5
2021-02-20,Japan,59.0,1196.0,2404.0,2021,2,20,5
2021-02-21,United States,2322.0,73576.0,1498513.0,2021,2,21,6
2021-02-21,Japan,84.0,1090.0,2378.0,2021,2,21,6
2021-02-21,Germany,1478.0,52329.0,130816.0,2021,2,21,6
2021-02-21,Pakistan,36.0,1340.0,4437.0,2021,2,21,6
2021-02-21,South Africa,81.0,1690.0,3078.0,2021,2,21,6
2021-02-21,Australia,0.0,6.0,0.0,2021,2,21,6
2021-02-22,Australia,0.0,4.0,2769.0,2021,2,22,0
2021-02-22,Pakistan,38.0,1328.0,5801.0,2021,2,22,0
2021-02-22,South Africa,113.0,1429.0,3843.0,2021,2,22,0
2021-02-22,Germany,0.0,0.0,135222.0,2021,2,22,0
2021-02-22,United States,1839.0,65510.0,1539070.0,2021,2,22,0
2021-02-22,Japan,57.0,859.0,2362.0,2021,2,22,0
2021-02-23,United States,1525.0,56628.0,1584243.0,2021,2,23,1
2021-02-23,Japan,55.0,1011.0,2464.0,2021,2,23,1
2021-02-23,Germany,0.0,0.0,140316.0,2021,2,23,1
2021-02-23,Pakistan,16.0,1160.0,7165.0,2021,2,23,1
2021-02-23,South Africa,97.0,792.0,4616.0,2021,2,23,1
2021-02-23,Australia,0.0,7.0,3447.0,2021,2,23,1
2021-02-24,Australia,0.0,2.0,5536.0,2021,2,24,2
2021-02-24,Pakistan,41.0,1050.0,8529.0,2021,2,24,2
2021-02-24,South Africa,263.0,998.0,5811.0,2021,2,24,2
2021-02-24,Germany,0.0,0.0,143922.0,2021,2,24,2
2021-02-24,United States,1487.0,55821.0,1664510.0,2021,2,24,2
2021-02-24,Japan,55.0,1086.0,2538.0,2021,2,24,2
2021-02-25,United States,1718.0,70162.0,1818899.0,2021,2,25,3
2021-02-25,Japan,63.0,919.0,3041.0,2021,2,25,3
2021-02-25,Germany,0.0,0.0,150372.0,2021,2,25,3
2021-02-25,Pakistan,50.0,1196.0,9696.0,2021,2,25,3
2021-02-25,South Africa,110.0,1862.0,7198.0,2021,2,25,3
2021-02-25,Australia,0.0,8.0,5872.0,2021,2,25,3
2021-02-26,Australia,0.0,11.0,5996.0,2021,2,26,4
2021-02-26,Pakistan,64.0,1361.0,10862.0,2021,2,26,4
2021-02-26,South Africa,144.0,1676.0,8161.0,2021,2,26,4
2021-02-26,Germany,0.0,0.0,158245.0,2021,2,26,4
2021-02-26,United States,1975.0,72358.0,1982722.0,2021,2,26,4
2021-02-26,Japan,75.0,1067.0,3356.0,2021,2,26,4
2021-02-27,United States,2850.0,71998.0,2081191.0,2021,2,27,5
2021-02-27,Japan,85.0,1201.0,3183.0,2021,2,27,5
2021-02-27,Germany,0.0,0.0,163353.0,2021,2,27,5
2021-02-27,Pakistan,32.0,1541.0,12029.0,2021,2,27,5
2021-02-27,South Africa,117.0,1654.0,8127.0,2021,2,27,5
2021-02-27,Australia,0.0,7.0,5312.0,2021,2,27,5
2021-02-28,Australia,0.0,5.0,4944.0,2021,2,28,6
2021-02-28,Pakistan,33.0,1315.0,13196.0,2021,2,28,6
2021-02-28,South Africa,157.0,1447.0,7877.0,2021,2,28,6
2021-02-28,Germany,1227.0,56356.0,165865.0,2021,2,28,6
2021-02-28,United States,1966.0,73274.0,2118304.0,2021,2,28,6
2021-02-28,Japan,53.0,1033.0,3009.0,2021,2,28,6
2021-03-01,United States,1634.0,68298.0,2202504.0,2021,3,1,0
2021-03-01,Japan,27.0,731.0,2836.0,2021,3,1,0
2021-03-01,Germany,0.0,0.0,171974.0,2021,3,1,0
2021-03-01,Pakistan,23.0,1176.0,13196.0,2021,3,1,0
2021-03-01,South Africa,52.0,1168.0,7141.0,2021,3,1,0
2021-03-01,Australia,0.0,8.0,5588.0,2021,3,1,0
2021-03-02,Australia,0.0,8.0,6308.0,2021,3,2,1
2021-03-02,Pakistan,36.0,1392.0,13196.0,2021,3,2,1
2021-03-02,South Africa,84.0,566.0,6246.0,2021,3,2,1
2021-03-02,Germany,0.0,0.0,179061.0,2021,3,2,1
2021-03-02,United States,1026.0,52570.0,2277621.0,2021,3,2,1
2021-03-02,Japan,46.0,852.0,2837.0,2021,3,2,1
2021-03-03,United States,1323.0,51114.0,2331303.0,2021,3,3,2
2021-03-03,Japan,51.0,1192.0,2774.0,2021,3,3,2
2021-03-03,Germany,0.0,0.0,189263.0,2021,3,3,2
2021-03-03,Pakistan,42.0,1163.0,13196.0,2021,3,3,2
2021-03-03,South Africa,194.0,856.0,5966.0,2021,3,3,2
2021-03-03,Australia,0.0,10.0,6340.0,2021,3,3,2
2021-03-04,Australia,0.0,6.0,6908.0,2021,3,4,3
2021-03-04,Pakistan,75.0,1388.0,13196.0,2021,3,4,3
2021-03-04,South Africa,95.0,1447.0,5626.0,2021,3,4,3
2021-03-04,Germany,0.0,0.0,197205.0,2021,3,4,3
2021-03-04,United States,1128.0,53761.0,2369236.0,2021,3,4,3
2021-03-04,Japan,68.0,1180.0,2468.0,2021,3,4,3
2021-03-05,United States,1896.0,66043.0,2385655.0,2021,3,5,4
2021-03-05,Japan,67.0,1164.0,2563.0,2021,3,5,4
2021-03-05,Germany,0.0,0.0,206016.0,2021,3,5,4
2021-03-05,Pakistan,63.0,1519.0,13196.0,2021,3,5,4
2021-03-05,South Africa,96.0,1404.0,5219.0,2021,3,5,4
2021-03-05,Australia,0.0,18.0,6706.0,2021,3,5,4
2021-03-06,Australia,0.0,10.0,7064.0,2021,3,6,5
2021-03-06,Pakistan,52.0,1579.0,13196.0,2021,3,6,5
2021-03-06,South Africa,104.0,1313.0,4896.0,2021,3,6,5
2021-03-06,Germany,0.0,0.0,213813.0,2021,3,6,5
2021-03-06,United States,1515.0,64859.0,2394699.0,2021,3,6,5
2021-03-06,Japan,59.0,1064.0,3566.0,2021,3,6,5
2021-03-07,United States,1924.0,64094.0,2404603.0,2021,3,7,6
2021-03-07,Japan,49.0,1036.0,4570.0,2021,3,7,6
2021-03-07,Germany,1049.0,58425.0,220139.0,2021,3,7,6
2021-03-07,Pakistan,38.0,1714.0,13196.0,2021,3,7,6
2021-03-07,South Africa,81.0,1227.0,4435.0,2021,3,7,6
2021-03-07,Australia,0.0,7.0,7391.0,2021,3,7,6
2021-03-08,Australia,0.0,9.0,7572.0,2021,3,8,0
2021-03-08,Pakistan,39.0,1780.0,13196.0,2021,3,8,0
2021-03-08,South Africa,31.0,862.0,4113.0,2021,3,8,0
2021-03-08,Germany,0.0,0.0,225694.0,2021,3,8,0
2021-03-08,United States,1277.0,57710.0,2420771.0,2021,3,8,0
2021-03-08,Japan,26.0,679.0,5573.0,2021,3,8,0
2021-03-09,United States,895.0,43758.0,2455562.0,2021,3,9,1
