Tytuł,Cena,Sklep,Procesor,Pamięć,Grafika,Typ ekranu,Dysk
ASUS Vivobook 15 R5‑7530U/16GB/512/Win11,"2 199,00 zł",xkom,AMD Ryzen™ 5 7530U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
Lenovo IdeaPad Slim 3‑15 i5‑12450H/16GB/512/Win11,"2 399,00 zł",xkom,Intel® Core™ i5-12450H,16 GB,Intel UHD Graphics,"Matowy, LED, IPS",
Acer Chromebook 315 N4500/8GB/128/FHD ChromeOS,"1 299,00 zł",xkom,Intel® Celeron N4500,8 GB,Intel UHD Graphics,"Matowy, LED, IPS",
ASUS Vivobook 15 i5‑1235U/16GB/512/Win11,"2 299,00 zł",xkom,Intel® Core™ i5-1235U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
HP 250 G9 i5‑1235U/16GB/512/Win11,"1 999,00 zł",xkom,Intel® Core™ i5-1235U,16 GB,Intel UHD,"Matowy, LED, VA",
Lenovo IdeaPad Slim 3‑15 i5‑12450H/16GB/1TB/Win11,"2 499,00 zł",xkom,Intel® Core™ i5-12450H,16 GB,Intel UHD Graphics,"Matowy, LED, IPS",
Apple MacBook Air M1/8GB/256/Mac OS Space Gray,"3 399,00 zł",xkom,Apple M1,8 GB,Apple M1 [7 rdzeni],"Błyszczący, LED, IPS, Retina",
Lenovo IdeaPad Gaming 3‑15 R5‑7535HS/16GB/512+1TB/Win11 RTX3050,"2 949,00 zł",xkom,AMD Ryzen™ 5 7535HS,16 GB,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",
Gigabyte AORUS 15 BKF i7‑13620H/16GB/1TB RTX4060 165Hz,"4 444,00 zł",xkom,Intel® Core™ i7-13620H,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Dell Inspiron 3525 Ryzen 5 5500U/16GB/512/Win11 120Hz,"2 099,00 zł",xkom,AMD Ryzen™ 5 5500U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, WVA",
Acer Nitro V R5‑7535HS/16GB/512 RTX3050 144Hz,"2 999,00 zł",xkom,AMD Ryzen™ 5 7535HS,16 GB,NVIDIA GeForce RTX 3050,"Matowy, LED",
Lenovo Yoga Slim 6‑14 i5‑13500H/16GB/512/Win11,"3 399,00 zł",xkom,Intel® Core™ i5-13500H,16 GB,Intel Iris Xe Graphics,"Błyszczący, OLED",
Acer Extensa i5‑1235U/16GB/512/Win11 Szary,"1 999,00 zł",xkom,Intel® Core™ i5-1235U,16 GB,Intel UHD,"Matowy, LED, IPS",
HP Pavilion 15 i5‑1335U/16GB/512/Win11,"2 899,00 zł",xkom,Intel® Core™ i5-1335U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
Dell Vostro 3520 i5‑1235U/16GB/512/Win11P,"2 599,00 zł",xkom,Intel® Core™ i5-1235U,16 GB,Intel UHD,"Matowy, LED, WVA",
ASUS TUF Gaming A15 R7‑7435HS/16GB/512 RTX3050 144Hz,"2 999,00 zł",xkom,AMD Ryzen™ 7 7435HS,16 GB,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",
ASUS ZenBook 14 UM3402YA R5‑7430U/16GB/512/Win11,"3 299,00 zł",xkom,AMD Ryzen™ 5 7430U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
Lenovo V15 i5‑13420H/16GB/512/Win11P,"2 749,00 zł",xkom,Intel® Core™ i5-13420H,16 GB,Intel UHD Graphics,"Matowy, LED",
Lenovo V15 i5‑1235U/16GB/1TB/Win11,"2 199,00 zł",xkom,Intel® Core™ i5-1235U,16 GB,Intel Iris Xe Graphics,"Matowy, LED",
MSI Modern 14 i5‑1235U/16GB/512/Win11,"1 949,00 zł",xkom,Intel® Core™ i5-1235U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
Lenovo Legion 5‑16 i7‑13650HX/32GB/512+1TB/Win11 RTX4060 165Hz,"6 199,00 zł",xkom,Intel® Core™ i7-13650HX,32 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Lenovo IdeaPad Slim 3‑15 Ryzen 5‑7530U/16GB/512/Win11,"2 199,00 zł",xkom,AMD Ryzen™ 5 7530U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
Gigabyte AORUS 7 9KF i5‑12500H/16GB/512 RTX4060 360Hz,"4 699,00 zł",xkom,Intel® Core™ i5-12500H,16 GB,NVIDIA GeForce RTX 4060 + Intel Iris Xe Graphics,,512 GB SSD M.2 PCIe
Lenovo IdeaPad Gaming 3‑15 Ryzen 5‑5500H/16GB/512 RTX2050 144Hz,"2 599,00 zł",xkom,AMD Ryzen™ 5 5500H,16 GB,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",
MSI Thin 15 i5‑12450H/16GB/512 RTX2050 144Hz,"2 399,00 zł",xkom,Intel® Core™ i5-12450H,16 GB,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",
ASUS ZenBook 14 UX3405MA Ultra 5‑125H/16GB/1TB/Win11 OLED 120Hz,"4 599,00 zł",xkom,Intel® Core™ Ultra 5 125H,16 GB,Intel Arc™ Graphics,"Błyszczący, OLED",
Lenovo Yoga 7 2‑in‑1 Ultra 5‑125H/16GB/1TB/Win11,"4 699,00 zł",xkom,Intel® Core™ Ultra 5 125H,16 GB,Intel Arc™ Graphics,"Błyszczący, OLED",
Acer Aspire 3 R7‑5700U/16GB/512/Win11,"2 399,00 zł",xkom,AMD Ryzen™ 7 5700U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
Lenovo IdeaPad Gaming 3‑15 R5‑7535HS/32GB/512+1TB/Win11 RTX3050,"3 749,00 zł",xkom,AMD Ryzen™ 5 7535HS,32 GB,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",
ASUS ZenBook 14 UM3406HA R7‑8840HS/16GB/1TB/Win11 OLED 120Hz,"3 999,00 zł",xkom,AMD Ryzen™ 7 8840HS,16 GB,AMD Radeon™ Graphics,"Błyszczący, OLED",
ASUS Vivobook 16X i5‑12500H/16GB/512/Win11 RTX2050,"2 599,00 zł",xkom,Intel® Core™ i5-12500H,16 GB,NVIDIA GeForce RTX 2050 + Intel UHD Graphics,"Matowy, LED, IPS",
Dell Inspiron 5440 Intel 7 150U/16GB/1TB/Win11 MX570A,"4 899,00 zł",xkom,Intel® Core™ 7 150U,16 GB,NVIDIA GeForce MX570A + Intel® Graphics,"Matowy, LED, WVA",
Apple MacBook Air M3/16GB/512/Mac OS Północ 10R GPU,"7 999,00 zł",xkom,Apple M3,16 GB,Apple M3 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",
Gigabyte G6X 9KG (2024) i7‑13650HX/32GB/1TB+1TB RTX4060 165Hz,"5 199,00 zł",xkom,Intel® Core™ i7-13650HX,32 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
ASUS TUF Gaming A15 R7‑7735HS/32GB/1TB RTX4060 144Hz,"5 299,00 zł",xkom,AMD Ryzen™ 7 7735HS,32 GB,NVIDIA GeForce RTX 4060 + AMD Radeon™ 680M,"Matowy, LED, IPS",
Apple MacBook Pro M4 Pro/48GB/512/Mac OS Gwiezdna Czerń 20R GPU,"14 999,00 zł",xkom,Apple M4 Pro,48 GB,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Gigabyte AORUS 16X (2024) i7‑13650HX/16GB/1TB RTX4060 165Hz,"4 999,00 zł",xkom,Intel® Core™ i7-13650HX,16 GB,NVIDIA GeForce RTX 4060,,1000 GB SSD M.2 PCIe
HP Victus 16 Ryzen 5‑7640HS/16GB/512 RTX4060 144Hz,"3 999,00 zł",xkom,AMD Ryzen™ 5 7640HS,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Acer Nitro 17 R7‑8845HS/64GB/1TB+1TB/Win11PX RTX4070 165Hz QHD,"8 499,00 zł",xkom,AMD Ryzen™ 7 8845HS,64 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Acer Nitro 16 R7‑8845HS/32GB/512+1TB/Win11 RTX4060 165Hz,"5 799,00 zł",xkom,AMD Ryzen™ 7 8845HS,32 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Acer Nitro 16 R7‑8845HS/16GB/512 RTX4060 165Hz,"4 999,00 zł",xkom,AMD Ryzen™ 7 8845HS,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Acer Swift X Ultra 7 155H/16GB/1TB/Win11 RTX3050 120Hz,"4 649,00 zł",xkom,Intel® Core™ Ultra 7 155H,16 GB,NVIDIA GeForce RTX 3050,,1000 GB SSD M.2 PCIe
ASUS TUF Gaming F16 i7‑13650HX/16GB/1TB/Win11 RTX4060 165Hz,"5 799,00 zł",xkom,Intel® Core™ i7-13650HX,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
ASUS TUF Gaming A15 R7‑7735HS/32GB/1TB/Win11 RTX4060 144Hz,"5 699,00 zł",xkom,AMD Ryzen™ 7 7735HS,32 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
ASUS ExpertBook B3604CMA Ultra 5‑125H/16GB/512/Win11P,"3 899,00 zł",xkom,Intel® Core™ Ultra 5 125H,16 GB,Intel® Graphics,"Matowy, LED, WVA",
Gigabyte AERO 16 OLED BSF i7‑13620H/16GB/1TB/Win11 RTX4070,"6 899,00 zł",xkom,Intel® Core™ i7-13620H,16 GB,NVIDIA GeForce RTX 4070 + Intel Iris Xe Graphics,"Błyszczący, OLED",
HP 15 i5‑1334U/16GB/512/Win11,"2 499,00 zł",xkom,Intel® Core™ i5-1334U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
Acer Aspire 3 i3‑1215U/16GB/1TB/Win11,"2 249,00 zł",xkom,Intel® Core™ i3-1215U,16 GB,Intel UHD Graphics,"Matowy, LED, IPS",
HP 17 i5‑1334U/32GB/512/Win11 Silver,"3 249,00 zł",xkom,Intel® Core™ i5-1334U,32 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
HP Victus 15 i5‑12450H/16GB/1TB/Win11 RTX3050 144Hz,"3 199,00 zł",xkom,Intel® Core™ i5-12450H,16 GB,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",
HP Victus 15 i5‑12450H/16GB/512/Win11 RTX3050 144Hz,"3 049,00 zł",xkom,Intel® Core™ i5-12450H,16 GB,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",
HP Pavilion 15 Ryzen 5‑7530U/32GB/1TB/Win11 Fog Blue,"3 199,00 zł",xkom,AMD Ryzen™ 5 7530U,32 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
Dell Inspiron 3525 Ryzen 7 5700U/16GB/512/Win11 120Hz,"2 499,00 zł",xkom,AMD Ryzen™ 7 5700U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, WVA",
Dell Latitude 3540 i5‑1335U/16GB/512/Win11P,"4 199,00 zł",xkom,Intel® Core™ i5-1335U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, WVA",
Lenovo Legion Slim 5‑16 Ryzen 7‑8845HS/16GB/512+1TB/Win11 RTX4060,"6 399,00 zł",xkom,AMD Ryzen™ 7 8845HS,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Lenovo IdeaPad Gaming 3‑15 R5‑5500H/16GB/512+1TB/Win11X RTX2050,"3 099,00 zł",xkom,AMD Ryzen™ 5 5500H,16 GB,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",
Acer Nitro V16 R5‑8645HS/16GB/1TB/Win11 RTX4050 165Hz,"4 299,00 zł",xkom,AMD Ryzen™ 5 8645HS,16 GB,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",
Acer Nitro 16 R7‑8845HS/64GB/1TB+1TB/Win11 RTX4060 165Hz,"6 449,00 zł",xkom,AMD Ryzen™ 7 8845HS,64 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
HP Pavilion 16 Ryzen 5‑8540U/16GB/512/Win11,"2 899,00 zł",xkom,AMD Ryzen™ 5 8540U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
HP Pavilion 15 i5‑1335U/32GB/1TB/Win11,"3 299,00 zł",xkom,Intel® Core™ i5-1335U,32 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
ASUS Vivobook S16 S5606MA Ultra 7‑155H/32GB/1TB/Win11 OLED 120Hz,"5 999,00 zł",xkom,Intel® Core™ Ultra 7 155H,32 GB,Intel Arc™ Graphics,"Błyszczący, OLED",
Dell G16 7630 i9‑13900HX/32GB/1TB/Win11PX RTX4070 240Hz,"10 699,00 zł",xkom,Intel® Core™ i9-13900HX,32 GB,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,"Matowy, LED, WVA",
ASUS TUF Gaming A15 R7‑7435HS/16GB/512/Win11 RTX3050 144Hz,"3 799,00 zł",xkom,AMD Ryzen™ 7 7435HS,16 GB,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",
"Microsoft Surface Laptop Copilot+ PC 13"" X Plus/16GB/256GB (Platynowy)","4 999,00 zł",xkom,Qualcomm Snapdragon X Plus,16 GB,Qualcomm® Adreno™,"Błyszczący, LED",
HP Dragonfly Pro One Ryzen 7‑7736U/32GB/1TB/Win11 White,"3 999,00 zł",xkom,AMD Ryzen™ 7 7736U,32 GB,AMD Radeon™ Graphics,"Błyszczący, LED, IPS",
HP Pavilion 16 Ryzen 7‑8840U/16GB/1TB/Win11 Touch,"3 599,00 zł",xkom,AMD Ryzen™ 7 8840U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
ASUS ExpertBook B1402CVA i5‑1335U/16GB/512/Win11P,"3 399,00 zł",xkom,Intel® Core™ i5-1335U,16 GB,Intel UHD Graphics,,512 GB SSD M.2 PCIe
HP Envy 14 x360 Ryzen 5‑8640HS/16GB/512/Win11 Touch,"3 699,00 zł",xkom,AMD Ryzen™ 5 8640HS,16 GB,AMD Radeon™ Graphics,"Błyszczący, LED, IPS",
HP Pavilion Plus 14 Ultra 5‑125H/16GB/512/Win11 120Hz OLED,"4 299,00 zł",xkom,Intel® Core™ Ultra 5 125H,16 GB,Intel Arc™ Graphics,"Błyszczący, OLED",
Dell Inspiron 16 5645 Ryzen 7 8840U/16GB/1TB/Win11,"4 399,00 zł",xkom,AMD Ryzen™ 7 8840U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, WVA",
Gigabyte G5 (2024) i7‑13620H/32GB/512+1TB RTX4050 144Hz,"4 199,00 zł",xkom,Intel® Core™ i7-13620H,32 GB,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",
Dell Vostro 3520 i5‑1235U/8GB/512/Win11P,"2 499,00 zł",xkom,Intel® Core™ i5-1235U,8 GB,Intel UHD,"Matowy, LED, WVA",
ASUS Vivobook 16X i5‑13500H/24GB/1TB/Win11 RTX3050,"3 899,00 zł",xkom,Intel® Core™ i5-13500H,24 GB,NVIDIA GeForce RTX 3050 + Intel UHD Graphics,"Matowy, LED, IPS",
ASUS TUF Gaming A16 Adv. Edition R7‑7435HS/16GB/512/Win11 RX7600S,"3 999,00 zł",xkom,AMD Ryzen™ 7 7435HS,16 GB,AMD Radeon™ RX 7600S,"Matowy, LED, IPS",
Lenovo IdeaPad Pro 5‑16 Ultra 5‑125H/32GB/512/Win11,"4 799,00 zł",xkom,Intel® Core™ Ultra 5 125H,32 GB,Intel Arc™ Graphics,"Matowy, LED, IPS",
ASUS ZenBook 14 UX3405MA Ultra 5‑125H/16GB/1TB/Win11 OLED 120Hz,"4 599,00 zł",xkom,Intel® Core™ Ultra 5 125H,16 GB,Intel Arc™ Graphics,"Błyszczący, OLED",
HP 17 i5‑1334U/16GB/1TB/Win11 Silver,"3 149,00 zł",xkom,Intel® Core™ i5-1334U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
Apple MacBook Air M2/8GB/256/Mac OS Silver 36msc,"4 999,00 zł",xkom,Apple M2,8 GB,Apple M2 [8 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",
Apple MacBook Air M3/16GB/256/Mac OS Północ 8R GPU,"5 199,00 zł",xkom,Apple M3,16 GB,Apple M3 [8 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",
Apple MacBook Pro M4 Pro/24GB/1TB/Mac OS Srebrny 20R GPU,"12 499,00 zł",xkom,Apple M4 Pro,24 GB,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/24GB/1TB/Mac OS Gwiezdna Czerń 10R GPU,"10 499,00 zł",xkom,Apple M4,24 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Dell Latitude 3550 i5‑1335U/32GB/1TB/Win11P,"5 999,00 zł",xkom,Intel® Core™ i5-1335U,32 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
MSI Modern 14 H i7‑13620H16GB/512/Win11,"2 799,00 zł",xkom,Intel® Core™ i7-13620H,16 GB,Intel UHD Graphics,"Matowy, LED, IPS",
HP Pavilion 15 Ryzen 7‑7730U/32GB/1TB/Win11Px Silver,"3 149,00 zł",xkom,AMD Ryzen™ 7 7730U,32 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
Lenovo IdeaPad Gaming 3‑15 R5‑5500H/32GB/512+1TB/ RTX2050 144Hz,"2 999,00 zł",xkom,AMD Ryzen™ 5 5500H,32 GB,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",
Lenovo IdeaPad Gaming 3‑15 R5‑5500H/32GB/512+1TB/Win11 RTX2050,"3 199,00 zł",xkom,AMD Ryzen™ 5 5500H,32 GB,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",
Acer Nitro 16 i5‑13420H/16GB/1TB RTX4050 165Hz,"4 149,00 zł",xkom,Intel® Core™ i5-13420H,16 GB,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",
Dell Latitude 3550 i7‑1355U/16GB/512/Win11P,"5 399,00 zł",xkom,Intel® Core™ i7-1355U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
Dell Latitude 3550 i5‑1335U/16GB/512/Win11P,"3 699,00 zł",xkom,Intel® Core™ i5-1335U,16 GB,Intel UHD,"Matowy, LED, IPS",
Dell Latitude 3450 i5‑1335U/16GB/512/Win11P,"4 399,00 zł",xkom,Intel® Core™ i5-1335U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
Dell Latitude 5540 i5‑1335U/16GB/512+1TB/Win11P,"5 599,00 zł",xkom,Intel® Core™ i5-1335U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, WVA",
MSI Vector 17 HX i9‑14900HX/32GB/1TB/Win11 RTX4080 240Hz,"11 799,00 zł",xkom,Intel® Core™ i9-14900HX,32 GB,NVIDIA GeForce RTX 4080,"Matowy, LED, IPS",
HP ProBook 450 G10 i5‑1335U/16GB/1TB/Win11P,"3 799,00 zł",xkom,Intel® Core™ i5-1335U,16 GB,Intel UHD,"Matowy, LED, IPS",
Lenovo LOQ‑15 i5‑12450HX/16GB/512/Win11 RTX4050 144Hz,"3 999,00 zł",xkom,Intel® Core™ i5-12450HX,16 GB,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",
ASUS TUF Gaming A15 R5‑7535HS/32GB/1TB/Win11 RTX4060 144Hz,"5 099,00 zł",xkom,AMD Ryzen™ 5 7535HS,32 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Acer Extensa i5‑1235U/16GB/512/Win11 Szary,"2 149,00 zł",xkom,Intel® Core™ i5-1235U,16 GB,Intel UHD,"Matowy, LED, IPS",
ASUS Zenbook S13 UX5304MA Ultra 7‑155U/32GB/1TB/Win11 OLED,"6 999,00 zł",xkom,Intel® Core™ Ultra 7 155U,32 GB,Intel® Graphics,"Błyszczący, OLED",
HP 15 i5‑1334U/32GB/512/Win11,"2 699,00 zł",xkom,Intel® Core™ i5-1334U,32 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
HP Pavilion 14 x360 i5‑1335U/16GB/512/Win11 Blue,"3 499,00 zł",xkom,Intel® Core™ i5-1335U,16 GB,Intel Iris Xe Graphics,"Błyszczący, LED, IPS",
Dell Inspiron 5445 Ryzen 7 8840U/16GB/1TB/Win11,"4 299,00 zł",xkom,AMD Ryzen™ 7 8840U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, WVA",
Apple MacBook Air M3/16GB/512/Mac OS Księżycowa poświata 10R GPU,"7 999,00 zł",xkom,Apple M3,16 GB,Apple M3 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",
ASUS Vivobook Pro 15 Ultra 9‑185H/24GB/1TB/W11P RTX4060 OLED120Hz,"6 799,00 zł",xkom,Intel® Core™ Ultra 9 185H,24 GB,NVIDIA GeForce RTX 4060 + Intel Arc™ Graphics,"Błyszczący, OLED",
ASUS ROG Strix G18 i7‑13650HX/32GB/1TB/Win11 RTX4070 240Hz,"8 899,00 zł",xkom,Intel® Core™ i7-13650HX,32 GB,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,"Matowy, LED, IPS",
Gigabyte AORUS 15 BKF i7‑13700H/32GB/1TB/Win11 RTX4060 165Hz,"5 899,00 zł",xkom,Intel® Core™ i7-13700H,32 GB,NVIDIA GeForce RTX 4060 + Intel Iris Xe Graphics,"Matowy, LED, IPS",
MSI Cyborg 15 i5‑12450H/32GB/512/Win11X RTX4060 144Hz,"4 549,00 zł",xkom,Intel® Core™ i5-12450H,32 GB,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,"Matowy, LED, IPS",
HP 15s Ryzen 7‑5700/32GB/960 IPS Silver,"2 449,00 zł",xkom,AMD Ryzen™ 7 5700U,32 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
HP ProBook 450 G10 i7‑1355U/32GB/512/Win11P,"4 099,00 zł",xkom,Intel® Core™ i7-1355U,32 GB,Intel UHD,"Matowy, LED, IPS",
Apple MacBook Air M3/16GB/256/Mac OS Gwiezdna szarość 8R GPU,"5 199,00 zł",xkom,Apple M3,16 GB,Apple M3 [8 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",
Apple MacBook Air M2/16GB/256/Mac OS Srebrny 8R GPU,"4 499,00 zł",xkom,Apple M2,16 GB,Apple M2 [8 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",
Apple MacBook Pro M4 Pro/24GB/512/Mac OS Srebrny 20R GPU,"12 999,00 zł",xkom,Apple M4 Pro,24 GB,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
HP Pavilion Plus 16 Ultra 7‑155H/32GB/1TB/Win11Pro,"6 299,00 zł",xkom,Intel® Core™ Ultra 7 155H,32 GB,Intel Arc™ Graphics,"Matowy, LED, IPS",
Dell Latitude 3450 i5‑1335U/16GB/512/Win11P,"3 999,00 zł",xkom,Intel® Core™ i5-1335U,16 GB,Intel UHD,"Matowy, LED, IPS",
Dell Latitude 3450 i5‑1345U/16GB/512/Win11P,"4 499,00 zł",xkom,Intel® Core™ i5-1345U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
MSI Thin 15 i5‑12450H/32GB/512 RTX2050 144Hz,"2 699,00 zł",xkom,Intel® Core™ i5-12450H,32 GB,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",
ASUS Vivobook S15 S5507QA X Plus X1P‑42‑100/16GB/1TB/W11 OLED AI,"3 599,00 zł",xkom,Qualcomm Snapdragon X Plus,16 GB,Adreno,"Błyszczący, OLED",
ASUS Vivobook S14 M5406WA R9‑HX370 AI/32GB/1TB/Win11 OLED 120Hz,"6 499,00 zł",xkom,AMD Ryzen™ AI 9 HX 370,32 GB,AMD Radeon™ 890M,"Błyszczący, OLED",
Lenovo ThinkPad T14 Ultra 7‑155U/32GB/1TB/Win11P,"7 799,00 zł",xkom,Intel® Core™ Ultra 7 155U,32 GB,Intel® Graphics,"Matowy, LED, IPS",
Lenovo LOQ‑15 i5‑12450HX/32GB/512 RTX4050 144Hz,"3 799,00 zł",xkom,Intel® Core™ i5-12450HX,32 GB,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",
Acer Swift X Ultra 7 155H/32GB/512/Win11 RTX4060 OLED 120Hz,"5 999,00 zł",xkom,Intel® Core™ Ultra 7 155H,32 GB,NVIDIA GeForce RTX 4060,"Błyszczący, OLED",
ASUS TUF Gaming A15 R5‑7535HS/32GB/512/Win11 RTX4060 144Hz,"4 799,00 zł",xkom,AMD Ryzen™ 5 7535HS,32 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
ASUS Vivobook S16 Flip R5‑7530U/24GB/1TB/Win11,"3 699,00 zł",xkom,AMD Ryzen™ 5 7530U,24 GB,AMD Radeon™ Vega 7,"Błyszczący, LED, IPS",
Acer Swift Go Ultra 7 155U/16GB/512/Win11,"3 499,00 zł",xkom,Intel® Core™ Ultra 7 155U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
Dell Vostro 3440 i5‑1334U/16GB/512/Win11P,"3 199,00 zł",xkom,Intel® Core™ i5-1334U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, WVA",
Dell Latitude 5450 Ultra 7 165U/32GB/512/Win11P,"7 649,00 zł",xkom,Intel® Core™ Ultra 7 165U,32 GB,Intel® Graphics,"Matowy, LED, IPS",
Lenovo LOQ 15 i5‑12450HX/16GB/512/Win11X RTX4060 144Hz,"4 299,00 zł",xkom,Intel® Core™ i5-12450HX,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Acer Nitro 17 R7‑8845HS/32GB/1TB+1TB/Win11X RTX4070 165Hz QHD,"7 849,00 zł",xkom,AMD Ryzen™ 7 8845HS,32 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Lenovo LOQ‑15 i5‑12450HX/16GB/512 RTX3050 144Hz,"3 199,00 zł",xkom,Intel® Core™ i5-12450HX,16 GB,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",
Dell Inspiron 16 Plus Ultra 7 155H/32GB/1TB/Win11P,"6 899,00 zł",xkom,Intel® Core™ Ultra 7 155H,32 GB,Intel Arc™ Graphics,"Matowy, LED, WVA",
Dell Inspiron 14 Plus Ultra 9 185H/32GB/1TB/Win11P 2.8K,"6 899,00 zł",xkom,Intel® Core™ Ultra 9 185H,32 GB,Intel Arc™ Graphics,"Matowy, LED, WVA",
Dell Inspiron 5440 Intel 5 120U/16GB/1TB/Win11,"3 799,00 zł",xkom,Intel® Core™ 5 120U,16 GB,Intel® Graphics,"Matowy, LED, WVA",
Gigabyte G5 (2024) i7‑13620H/16GB/512+1TB/Win11X RTX4050 144Hz,"4 299,00 zł",xkom,Intel® Core™ i7-13620H,16 GB,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",
HP 17 i3‑N305/8GB/512/Win11 Silver,"2 399,00 zł",xkom,Intel® Core™ i3-N305,8 GB,Intel UHD Graphics,"Matowy, LED, IPS",
ASUS TUF Gaming A15 R7‑7735HS/32GB/512 RTX4060 144Hz,"4 999,00 zł",xkom,AMD Ryzen™ 7 7735HS,32 GB,NVIDIA GeForce RTX 4060 + AMD Radeon™ 680M,"Matowy, LED, IPS",
ASUS Vivobook S14 Flip i5‑1335U/16GB/512/Win11 OLED 90Hz,"3 999,00 zł",xkom,Intel® Core™ i5-1335U,16 GB,Intel UHD Graphics,"Błyszczący, OLED",
HP Victus 15 i5‑13420H/8GB/512 RTX2050 144Hz,"2 799,00 zł",xkom,Intel® Core™ i5-13420H,8 GB,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",
