Tytuł,Cena,Sklep,Procesor,Pamięć,Grafika,Typ ekranu,Dysk
Apple MacBook Pro M4 Max/128GB/2TB/Mac OS Gwiezdna Czerń 40R GPU,"25 999,00 zł",xkom,Apple M4 Max,128 GB,Apple M4 Max [40 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Max/128GB/1TB/Mac OS Gwiezdna Czerń 40R GPU,"23 999,00 zł",xkom,Apple M4 Max,128 GB,Apple M4 Max [40 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Max/64GB/1TB/Mac OS Gwiezdna Czerń 40R GPU,"19 999,00 zł",xkom,Apple M4 Max,64 GB,Apple M4 Max [40 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Max/48GB/1TB/Mac OS Gwiezdna Czerń 40R GPU,"18 999,00 zł",xkom,Apple M4 Max,48 GB,Apple M4 Max [40 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Max/36GB/1TB/Mac OS Gwiezdna Czerń 32R Nano,"17 249,00 zł",xkom,Apple M4 Max,36 GB,Apple M4 Max [32 rdzenie],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Pro/48GB/2TB/Mac OS Srebrny 20R GPU Nano,"17 249,00 zł",xkom,Apple M4 Pro,48 GB,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Pro/48GB/2TB/Mac OS Gwiezdna Czerń 20R Nano,"17 249,00 zł",xkom,Apple M4 Pro,48 GB,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Pro/48GB/2TB/Mac OS Srebrny 20R GPU,"16 499,00 zł",xkom,Apple M4 Pro,48 GB,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Pro/48GB/2TB/Mac OS Gwiezdna Czerń 20R GPU,"16 499,00 zł",xkom,Apple M4 Pro,48 GB,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Pro/24GB/2TB/Mac OS Gwiezdna Czerń 20R Nano,"15 249,00 zł",xkom,Apple M4 Pro,24 GB,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Pro/24GB/2TB/Mac OS Srebrny 20R GPU Nano,"15 249,00 zł",xkom,Apple M4 Pro,24 GB,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Pro/24GB/2TB/Mac OS Srebrny 20R GPU,"14 499,00 zł",xkom,Apple M4 Pro,24 GB,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Pro/24GB/2TB/Mac OS Gwiezdna Czerń 20R GPU,"14 499,00 zł",xkom,Apple M4 Pro,24 GB,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Pro/48GB/1TB/Mac OS Srebrny 20R GPU,"14 499,00 zł",xkom,Apple M4 Pro,48 GB,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Pro/48GB/1TB/Mac OS Gwiezdna Czerń 20R GPU,"14 499,00 zł",xkom,Apple M4 Pro,48 GB,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Pro/24GB/1TB/Mac OS Srebrny 20R GPU Nano,"13 249,00 zł",xkom,Apple M4 Pro,24 GB,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Pro/24GB/1TB/Mac OS Gwiezdna Czerń 20R Nano,"13 249,00 zł",xkom,Apple M4 Pro,24 GB,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
