Tytuł,Cena,Sklep,Procesor,RAM,Dysk SSD,Karta graficzna:,Ekran,System operacyjny,Dysk HDD:,Firma procesora
"Laptop ACER Nitro 5 AN515-58-51T5 15.6"" IPS 165Hz i5-12500H 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3 Windows 11 Home",6199.99,MediaExpert,Intel Core i5-12500H,16,512,NVIDIA GeForce RTX 4050 + Intel Iris Xe Graphics,15.6,Windows 11 Home,,Intel
"Laptop CHUWI HeroBook Pro 14.1"" IPS Celeron N4020 8GB RAM 256GB SSD Windows 11 Home",1199.98,MediaExpert,Intel Celeron N4020,8,256,Intel UHD Graphics 600,14.1,Windows 11 Home,,Intel
"Laptop MAXCOM Office mBook 14"" IPS Celeron J4125 8GB RAM 256GB SSD Windows 11 Home",1649.98,MediaExpert,Intel Celeron J4125,8,256,Intel UHD Graphics 600,14,Windows 11 Home,,Intel
"Laptop APPLE MacBook Air 2024 15.3"" Retina M3 16GB RAM 256GB SSD macOS Księżycowa poświata",6099.99,MediaExpert,Apple M3,16,256,Apple M3 (10 rdzeni),15.3,macOS Sequoia,,Apple
"Laptop LENOVO LOQ 15ARP9 15.6"" IPS 144Hz R7-7435HS 24GB RAM 512GB SSD GeForce RTX4070 DLSS 3 Windows 11 Home",5999.0,MediaExpert,AMD Ryzen 7 7435HS,24,512,NVIDIA GeForce RTX 4070,15.6,Windows 11 Home,,AMD
"Laptop ASUS Vivobook A1504VA-BQ905W 15.6"" IPS i5-1335U 16GB RAM 512GB SSD Windows 11 Home",2399.0,MediaExpert,Intel Core i5-1335U,16,512,Intel Iris Xe Graphics,15.6,Windows 11 Home,,Intel
"Laptop MAXCOM Office mBook Lite 14"" Celeron N4020 4GB RAM 128GB SSD Windows 11 Home",899.0,MediaExpert,Intel Celeron N4020,4,128,Intel UHD Graphics 600,14,Windows 11 Home,,Intel
"Laptop ASUS TUF Gaming F15 FX507VV-TT901W 15.6"" IPS 144Hz i7-13620H 16GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Windows 11 Home",5499.0,MediaExpert,Intel Core i7-13620H,16,1000,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,15.6,Windows 11 Home,,Intel
"Laptop LENOVO Legion Slim 5 16AHP9 16"" IPS 240Hz R7-8845HS 32GB RAM 1TB SSD GeForce RTX4070 DLSS 3 Windows 11 Home",7744.82,MediaExpert,AMD Ryzen 7 8845HS,32,1000,NVIDIA GeForce RTX 4070 + AMD Radeon 780M,16,Windows 11 Home,,AMD
"Laptop ASUS VivoBook 15X K3504VA-MA479W 15.6"" OLED i5-1335U 16GB RAM 1TB SSD Windows 11 Home",3160.12,MediaExpert,Intel Core i5-1335U,16,1000,Intel Iris Xe Graphics,15.6,Windows 11 Home,,Intel
"Laptop ASUS VivoBook 15X K3504VA-MA431W 15.6"" OLED i5-1335U 16GB RAM 512GB SSD Windows 11 Home",3299.99,MediaExpert,Intel Core i5-1335U,16,512,Intel Iris Xe Graphics,15.6,Windows 11 Home,,Intel
"Laptop CHUWI FreeBook 2023 13.5"" IPS Celeron N100 12GB RAM 512GB SSD Windows 11 Home",1999.98,MediaExpert,Intel Celeron N100,12,512,Intel UHD Graphics,13.5,Windows 11 Home,,Intel
"Laptop LENOVO V15 G4 IRU 15.6"" i5-13420H 16GB RAM 512GB SSD Windows 11 Professional",2773.22,MediaExpert,Intel Core i5-13420H,16,512,Intel UHD Graphics,15.6,Windows 11 Professional,,Intel
