Tytuł,Cena,Sklep,Procesor,RAM,Dysk SSD,Karta graficzna:,Ekran,System operacyjny,Dysk HDD:,Firma procesora
"Laptop MSI Modern 15 H AI C1MG-013PL 15.6"" IPS Ultra 5-125H 16GB RAM 512GB SSD Windows 11 Home",2999.0,MediaExpert,Intel Core Ultra 5-125H,16,512,Intel UHD Graphics,15.6,Windows 11 Home,,Intel
"Laptop ASUS VivoBook Pro 15 N6506MV-MA031X 15.6"" OLED Ultra 9-185H 16GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Windows 11 Professional",7079.99,MediaExpert,Intel Core Ultra 9-185H,16,1000,NVIDIA GeForce RTX 4060 + Intel Arc Graphics,15.6,Windows 11 Professional,,Intel
"Laptop ASUS VivoBook 16X K3605VC-MB231W 16"" IPS i5-13500H 16GB RAM 512GB SSD GeForce RTX3050 Windows 11 Home",2999.0,MediaExpert,Intel Core i5-13500H,16,512,NVIDIA GeForce RTX 3050 + Intel Iris Xe Graphics,16,Windows 11 Home,,Intel
"Laptop ASUS VivoBook 15 X1504ZA-BQ477 15.6"" IPS i5-1235U 16GB RAM 1TB SSD",2399.0,MediaExpert,Intel Core i5-1235U,16,1000,Intel Iris Xe Graphics,15.6,Brak,,Intel
"Laptop DELL Inspiron 5630-3383 16"" i5-1340P 16GB RAM 512GB SSD Windows 11 Home",3498.0,MediaExpert,Intel Core i5-1340P,16,512,Intel Iris Xe Graphics,16,Windows 11 Home,,Intel
"Laptop ACER Swift Edge SFA16-41-R451 16"" R7-6800U 16GB RAM 1TB SSD Windows 11 Home",7349.99,MediaExpert,AMD Ryzen 7 6800U,16,1000,AMD Radeon 680M,16,Windows 11 Home,,AMD
"Laptop ACER Swift Edge SFA16-41 16"" R7-6850U 32GB RAM 1TB SSD Windows 11 Professional",8099.99,MediaExpert,AMD Ryzen 7 6850U,32,1000,AMD Radeon 680M,16,Windows 11 Professional,,AMD
"Laptop ACER Aspire 3 A315-59-32D8 15.6"" IPS i3-1215U 8GB RAM 512GB SSD Windows 11 Home",2849.99,MediaExpert,Intel Core i3-1215U,8,512,Intel UHD Graphics,15.6,Windows 11 Home,,Intel
"Laptop APPLE MacBook Air 2024 13.6"" Retina M3 24GB RAM 512GB SSD macOS Gwiezdna szarość",7499.0,MediaExpert,Apple M3,24,512,Apple M3 (10 rdzeni),13.6,macOS Sequoia,,Apple
"Laptop ACER Nitro V 16 ANV16-41 16"" IPS 165Hz R5-8645HS 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3",3798.0,MediaExpert,AMD Ryzen 5 8645HS,16,512,NVIDIA GeForce RTX 4050 + AMD Radeon 760M,16,Brak,,AMD
"Laptop LENOVO Legion Slim 5 14APH8 14.5"" OLED R7-7840HS 16GB RAM 512GB SSD GeForce RTX4060 DLSS 3 Windows 11 Home",4999.0,MediaExpert,AMD Ryzen 7 7840HS,16,512,NVIDIA GeForce RTX 4060 + AMD Radeon 780M,14.5,Windows 11 Home,,AMD
"Laptop ASUS VivoBook S 15 S5507QA-MA007W 15.6"" OLED Snapdragon X Plus X1P-42-100 16GB RAM 1TB SSD Windows 11 Home",3699.0,MediaExpert,Qualcomm Snapdragon X Plus X1P-42-100,16,1000,Qualcomm Adreno,15.6,Windows 11 Home,,Qualcomm
"Laptop HP Pavilion 15-EG3214NW 15.6"" IPS i5-1335U 16GB RAM 512GB SSD Windows 11 Home",2499.99,MediaExpert,Intel Core i5-1335U,16,512,Intel Iris Xe Graphics,15.6,Windows 11 Home,,Intel
"Laptop DELL Inspiron 5440-2840 14"" Core 7 150U 16GB RAM 1TB SSD Windows 11 Home",3997.0,MediaExpert,Intel Core 7 150U,16,1000,Intel Graphics,14,Windows 11 Home,,Intel
"Laptop MICROSOFT Surface Laptop Copilot+ PC 13.8"" Snapdragon X Plus 16GB RAM 512GB SSD Windows 11 Home",5499.0,MediaExpert,Qualcomm Snapdragon X Plus,16,512,Qualcomm Adreno,13.8,Windows 11 Home,,Qualcomm
"Laptop ASUS VivoBook 16X K3605ZU-MB196W 16"" IPS i5-12500H 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3 Windows 11 Home",3999.0,MediaExpert,Intel Core i5-12500H,16,512,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop ASUS ZenBook S 13 UX5304MA-NQ033W 13.3"" OLED Ultra 5-125U 16GB RAM 512GB SSD Windows 11 Home",3999.99,MediaExpert,Intel Core Ultra 5-125U,16,512,Intel Graphics,13.3,Windows 11 Home,,Intel
"Laptop ASUS ZenBook 14 UX3405MA-PP288W 14"" OLED Ultra 9-185H 32GB RAM 1TB SSD Windows 11 Home",6999.0,MediaExpert,Intel Core Ultra 9-185H,32,1000,Intel UHD Graphics,14,Windows 11 Home,,Intel
"Laptop GIGABYTE Aero 16 BSF-H3EE954SH 16"" OLED i7-13620H 16GB RAM 1TB SSD GeForce RTX4070 DLSS 3 Windows 11 Home",6699.0,MediaExpert,Intel Core i7-13620H,16,1000,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop GIGABYTE Aorus 15 BKG-13EE754SH 15.6"" IPS 165Hz Ultra 7-155H 16GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Windows 11 Home",6249.0,MediaExpert,Intel Core Ultra 7-155H,16,1000,NVIDIA GeForce RTX 4060 + Intel Arc Graphics,15.6,Windows 11 Home,,Intel
"Laptop ASUS TUF Gaming A15 FA507NV-LP023 15.6"" IPS 144Hz R7-7735HS 16GB RAM 512GB SSD GeForce RTX4060 DLSS 3",4599.0,MediaExpert,AMD Ryzen 7 7735HS,16,512,NVIDIA GeForce RTX 4060 + AMD Radeon 680M,15.6,Brak,,AMD
"Laptop DELL Inspiron 5630-9928 16"" i5-1335U 16GB RAM 512GB SSD Windows 11 Home",3848.0,MediaExpert,Intel Core i5-1335U,16,512,Intel Iris Xe Graphics,16,Windows 11 Home,,Intel
"Laptop HP EliteBook 840 G10 14"" IPS i7-1355U 16GB RAM 512GB SSD Windows 11 Professional",5549.0,MediaExpert,Intel Core i7-1355U,16,512,Intel Iris Xe Graphics,14,Windows 11 Professional,,Intel
"Laptop ACER Nitro AN16-41-R66M 16"" IPS 165Hz R7-7735HS 32GB RAM 1TB SSD GeForce RTX4070 DLSS 3 Windows 11 Home",7397.97,MediaExpert,AMD Ryzen 7 7735HS,32,1000,NVIDIA GeForce RTX 4070 + AMD Radeon 680M,16,Windows 11 Home,,AMD
"Laptop LENOVO Legion 5 16IRX9 16"" IPS 240Hz i7-14650HX 32GB RAM 1TB SSD GeForce RTX4070 DLSS 3 Windows 11 Home",8799.0,MediaExpert,Intel Core i7-14650HX,32,1000,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop LENOVO LOQ 15ARP9 15.6"" IPS 144Hz R7-7435HS 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3",4199.99,MediaExpert,AMD Ryzen 7 7435HS,16,512,NVIDIA GeForce RTX 4050,15.6,Brak,,AMD
"Laptop CHUWI Corebook X CWI570K2 14"" i5-12450H 16GB RAM512GB SSD Windows 11 Home",2309.99,MediaExpert,Intel Core i5-12450H,16,512,Intel UHD Graphics,14,Windows 11 Home,,Intel
"Laptop DELL Inspiron 14 2in1 7440-2727 14"" IPS Core 7 150U 16GB RAM 1TB SSD Windows 11 Home",4849.0,MediaExpert,Intel Core 7 150U,16,1000,Intel Graphics,14,Windows 11 Home,,Intel
"Laptop DELL Inspiron 5645-7371 16"" R5-8540U 16GB RAM 512GB SSD Windows 11 Home",3499.0,MediaExpert,AMD Ryzen 5 8540U,16,512,AMD Radeon 740M,16,Windows 11 Home,,AMD
"Laptop ASUS VivoBook S M5406UA-PP080W 14"" OLED R7-8845HS 32GB RAM 1TB SSD Windows 11 Home",4999.0,MediaExpert,AMD Ryzen 7 8845HS,32,1000,AMD Radeon 780M,14,Windows 11 Home,,AMD
"Laptop ASUS VivoBook 16X M3604YA-MB187W 16"" IPS R7-7730U 16GB RAM 1TB SSD Windows 11 Home",3199.0,MediaExpert,AMD Ryzen 7 7730U,16,1000,AMD Radeon Graphics,16,Windows 11 Home,,AMD
"Laptop ASUS VivoBook 15 X1504ZA-BQ279W 15.6"" IPS i3-1215U 8GB RAM 512GB SSD Windows 11 Home",1799.0,MediaExpert,Intel Core i3-1215U,8,512,Intel UHD Graphics,15.6,Windows 11 Home,,Intel
"Laptop DELL XPS 9530-4781 15.6"" i7-13700H 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3 Windows 11 Professional",8398.0,MediaExpert,Intel Core i7-13700H,16,512,NVIDIA GeForce RTX 4050 + Intel Iris Xe Graphics,15.6,Windows 11 Professional,,Intel
"Laptop HP 250 G9 8A5U2EA 15.6"" IPS i5-1235U 8GB RAM 512GB SSD Windows 11 Home",2219.0,MediaExpert,Intel Core i5-1235U,8,512,Intel UHD Graphics,15.6,Windows 11 Home,,Intel
"Laptop MSI Modern 15 B12MO-640PL 15.6"" IPS i5-1235U 16GB RAM 512GB SSD Windows 11 Home",2499.0,MediaExpert,Intel Core i5-1235U,16,512,Intel Iris Xe Graphics,15.6,Windows 11 Home,,Intel
"Laptop LENOVO Legion Pro 5 16ARX8 16"" IPS 165Hz R7-7745HX 16GB RAM 512GB SSD GeForce RTX4060 DLSS 3",5899.0,MediaExpert,AMD Ryzen 7 7745HX,16,512,NVIDIA GeForce RTX 4060 + AMD Radeon 610M,16,Brak,,AMD
"Laptop PREDATOR Helios 300 PH315-55-705T 15.6"" IPS 165Hz i7-12700H 16GB RAM 1TB SSD GeForce RTX3070 Windows 11 Home",5579.42,MediaExpert,Intel Core i7-12700H,16,1000,NVIDIA GeForce RTX 3070 + Intel Iris Xe Graphics,15.6,Windows 11 Home,,Intel
"Laptop MSI Cyborg A12VE-017XPL 15.6"" IPS 144Hz i5-12450H 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3",3599.0,MediaExpert,Intel Core i5-12450H,16,512,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,15.6,Brak,,Intel
"Laptop MICROSOFT Surface Laptop 5 13.5"" i5-1235U 16GB RAM 512GB SSD Windows 11 Home Platynowy (Alcantara)",4879.97,MediaExpert,Intel Core i5-1235U,16,512,Intel Iris Xe Graphics,13.5,Windows 11 Home,,Intel
"Laptop PREDATOR Triton 300 PT314-51S-753T 14"" IPS 144Hz i7-11370H 16GB RAM 1TB SSD GeForce RTX3060 Windows 11 Home",4799.99,MediaExpert,Intel Core i7-11370H,16,1000,NVIDIA GeForce RTX 3060 + Intel Iris Xe Graphics,14,Windows 11 Home,,Intel
"Laptop APPLE MacBook Air 2024 13.6"" Retina M3 24GB RAM 512GB SSD macOS Srebrny",7499.0,MediaExpert,Apple M3,24,512,Apple M3 (10 rdzeni),13.6,macOS Sequoia,,Apple
"Laptop APPLE MacBook Pro 2024 14"" Retina M4 24GB RAM 1TB SSD macOS Gwiezdna czerń",10499.0,MediaExpert,Apple M4,24,1000,Apple M4 (10 rdzeni),14.2,macOS Sequoia,,Apple
Laptop DREAMMACHINES RG4060-15PL44 15.3” 240Hz i7-14650HX 32GB RAM 1TB SSD GeForce RTX4060 DLSS 3,6099.99,MediaExpert,Intel Core i7-14650HX,32,1024,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,15.3,Brak,,Intel
"Laptop ACER Nitro 16 AN16-42-R5F7 16"" IPS 165Hz R7-8845HS 16GB RAM 1TB SSD GeForce RTX4070 DLSS 3 Windows 11 Home",6899.99,MediaExpert,AMD Ryzen 7 8845HS,16,1000,NVIDIA GeForce RTX 4070 + AMD Radeon 780M,16,Windows 11 Home,,AMD
"Laptop HUAWEI MateBook D 14 14"" IPS i5-13420H 16GB RAM 512GB SSD Windows 11 Home",3399.0,MediaExpert,Intel Core i5-13420H,16,512,Intel UHD Graphics,14,Windows 11 Home,,Intel
"Laptop ACER Swift Go 14 SFG14-63-R2ZG 14"" OLED R7-8845HS 16GB RAM 512GB SSD Windows 11 Home",3699.0,MediaExpert,AMD Ryzen 7 8845HS,16,512,AMD Radeon 780M,14,Windows 11 Home,,AMD
"Laptop ASUS VivoBook S 15 K5504VA-MA374W 15.6"" OLED i5-13500H 16GB RAM 1TB SSD Windows 11 Home",3999.99,MediaExpert,Intel Core i5-13500H,16,1000,Intel UHD Graphics,15.6,Windows 11 Home,,Intel
"Laptop ASUS VivoBook S 16 Flip TN3604YA-MY110W 16"" OLED R7-7730U 16GB RAM 1TB SSD Windows 11 Home",5099.98,MediaExpert,AMD Ryzen 7 7730U,16,1000,AMD Radeon Graphics,16,Windows 11 Home,,AMD
"Laptop GIGABYTE Aorus 16X ASG-53EEC54SH 16"" 165Hz i7-14650HX 16GB RAM 1TB SSD GeForce RTX4070 DLSS 3 Windows 11 Home",7599.98,MediaExpert,Intel Core i7-14650HX,16,1000,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop DELL Inspiron 5435-9911 14"" R5-7530U 16GB RAM 512GB SSD Windows 11 Home",3849.99,MediaExpert,AMD Ryzen 5 7530U,16,512,AMD Radeon Graphics,14,Windows 11 Home,,AMD
"Laptop MSI Katana 15 B13VGK-1493XPL 15.6"" IPS 144Hz i7-13620H 16GB RAM 1TB SSD GeForce RTX4070 DLSS 3",5899.0,MediaExpert,Intel Core i7-13620H,16,1000,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,15.6,Brak,,Intel
"Laptop APPLE MacBook Pro 2023 14"" Retina M3 8GB RAM 512GB SSD macOS Gwiezdna szarość",7499.0,MediaExpert,Apple M3,8,512,Apple M3 (10 rdzeni),14.2,macOS Sonoma,,Apple
"Laptop MICROSOFT Surface Laptop Go 3 12.45"" i5-1235U 16GB RAM 256GB SSD Windows 11 Home",3999.98,MediaExpert,Intel Core i5-1235U,16,256,Intel Iris Xe Graphics,12.45,Windows 11 Home,,Intel
"Laptop ACER Chromebook Spin 513 CP513-2H-K9G8 13.5"" IPS MT8195T 8GB RAM 128GB eMMC Chrome OS",2767.5,MediaExpert,MediaTek MT8195T,8,128,ARM Mali-G57 MC5,13.5,Chrome OS,,MediaTek
"Laptop ACER Chromebook 515 CB515-1W-58XB 15.6"" IPS i5-1135G7 8GB RAM 256GB SSD Chrome OS",3099.99,MediaExpert,Intel Core i5-1135G7,8,256,Intel Iris Xe Graphics,15.6,Chrome OS,,Intel
"Laptop LENOVO IdeaPad Gaming 3 15IAH7 15.6"" IPS i5-12450H 16GB RAM 512GB SSD GeForce RTX3060",3399.0,MediaExpert,Intel Core i5-12450H,16,512,NVIDIA GeForce RTX 3060 + Intel UHD Graphics,15.6,Brak,,Intel
"Laptop LENOVO Legion 5 15ARH7 15.6"" IPS 165Hz R7-6800H 16GB RAM 512GB SSD GeForce RTX3050",4049.0,MediaExpert,AMD Ryzen 7 6800H,16,512,NVIDIA GeForce RTX 3050 + AMD Radeon 680M,15.6,Brak,,AMD
"Laptop PREDATOR Helios 300 PH315-55S 15.6"" IPS i9-12900H 32GB RAM 2 x 1TB SSD GeForce RTX3080 Windows 11 Home",8997.97,MediaExpert,Intel Core i9-12900H,32,,NVIDIA GeForce RTX 3080 + Intel Iris Xe Graphics,15.6,Windows 11 Home,,Intel
"Laptop APPLE MacBook Pro 2024 16"" Retina M4 Max 48GB RAM 1TB SSD macOS Srebrny",21499.0,MediaExpert,Apple M4 Max,48,1000,Apple M4 Max (40 rdzeni),16.2,macOS Sequoia,,Apple
"Laptop TECHBITE Pix 15.6"" IPS Celeron N5105 8GB RAM 128GB SSD Windows 11 Home S",1299.0,MediaExpert,Intel Celeron N5105,8,128,Intel UHD Graphics,15.6,Windows 11 Home S,,Intel
"Laptop ASUS ROG Zephyrus G14 GA402XY-NC022X 14"" 165Hz R9-7940HS 32GB RAM 1TB SSD GeForce RTX4090 DLSS 3 Windows 11 Professional",12498.99,MediaExpert,AMD Ryzen 9 7940HS,32,1000,NVIDIA GeForce RTX 4090 + AMD Radeon 780M,14,Windows 11 Professional,,AMD
"Laptop ASUS TUF Gaming A14 FA401UV-R7161W 14"" IPS 165Hz R7-8845HS 16GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Windows 11 Home",5999.0,MediaExpert,AMD Ryzen 7 8845HS,16,1000,NVIDIA GeForce RTX 4060 + AMD Radeon 780M,14,Windows 11 Home,,AMD
"Laptop ASUS VivoBook S 16 S5606MA-MX108W 16"" OLED Ultra 9-185H 32GB RAM 1TB SSD Windows 11 Home",6499.0,MediaExpert,Intel Core Ultra 9-185H,32,1000,Intel Arc Graphics,16,Windows 11 Home,,Intel
"Laptop HP Victus 15-fa1332nw 15.6"" IPS 144Hz i5-13500H 16GB RAM 512GB SSD GeForce RTX4060 DLSS 3 Windows 11 Home",4399.0,MediaExpert,Intel Core i5-13500H,16,512,NVIDIA GeForce RTX 4060 + Intel Iris Xe Graphics,15.6,Windows 11 Home,,Intel
"Laptop DELL G15 5530-4903 15.6"" i7-13650HX 16GB RAM 512GB SSD GeForce RTX3050 Linux",4499.0,MediaExpert,Intel Core i7-13650HX,16,512,NVIDIA GeForce RTX 3050 + Intel UHD Graphics,15.6,Linux,,Intel
"Laptop DELL Inspiron Plus 7440-2741 14"" Ultra 7-155H 16GB RAM 1TB SSD Windows 11 Professional",5299.0,MediaExpert,Intel Core Ultra 7-155H,16,1000,Intel Arc Graphics,14,Windows 11 Professional,,Intel
"Laptop ASUS ZenBook 14 UX3405MA-PP174W 14"" OLED Ultra 5-125H 16GB RAM 1TB SSD Windows 11 Home",4999.99,MediaExpert,Intel Core Ultra 5-125H,16,1000,Intel Arc Graphics,14,Windows 11 Home,,Intel
"Laptop DELL Inspiron 5430-9881 14"" i5-1340P 16GB RAM 512GB SSD Windows 11 Home",3498.0,MediaExpert,Intel Core i5-1340P,16,512,Intel Iris Xe Graphics,14,Windows 11 Home,,Intel
"Laptop DELL Inspiron 5630-8256 16"" i5-1340P 16GB RAM 512GB SSD GeForce RTX2050 Windows 11 Home",4599.0,MediaExpert,Intel Core i5-1340P,16,512,NVIDIA GeForce RTX 2050 + Intel Iris Xe Graphics,16,Windows 11 Home,,Intel
"Laptop ACER Chromebook Plus 514 Google AI laptop CB514-3H 14"" IPS R5-7520C 8GB RAM 256GB SSD ChromeOS",1899.97,MediaExpert,AMD Ryzen 5 7520C,8,256,AMD Radeon 610M,14,Chrome OS,,AMD
"Laptop APPLE MacBook Pro 2023 14"" Retina M3 8GB RAM 1TB SSD macOS Srebrny",7999.0,MediaExpert,Apple M3,8,1000,Apple M3 (10 rdzeni),14.2,macOS Sonoma,,Apple
"Laptop MSI Thin GF63 12UC-1001PL 15.6"" IPS 144Hz i5-12450H 8GB RAM 512GB SSD GeForce RTX3050 Windows 11 Home",2982.0,MediaExpert,Intel Core i5-12450H,8,512,NVIDIA GeForce RTX 3050 + Intel UHD Graphics,15.6,Windows 11 Home,,Intel
"Laptop ACER Aspire 5 A515-47 15.6"" IPS R7-5825U 8GB RAM 512GB SSD Windows 11 Home",2999.0,MediaExpert,AMD Ryzen 7 5825U,8,512,AMD Radeon Graphics,15.6,Windows 11 Home,,AMD
"Laptop ACER Aspire 5 A515-47 15.6"" IPS R7-5825U 16GB RAM 512GB SSD Windows 11 Home",3585.1,MediaExpert,AMD Ryzen 7 5825U,16,512,AMD Radeon Graphics,15.6,Windows 11 Home,,AMD
"Laptop ACER Extensa EX215-54 15.6"" i3-1115G4 8GB RAM 256GB SSD",1799.97,MediaExpert,Intel Core i3-1115G4,8,256,Intel UHD Graphics,15.6,Brak,,Intel
"Laptop ASUS ExpertBook P5 P5405CSA-NZ0417W 14"" IPS Ultra 7-258V 32GB RAM 1TB SSD Windows 11 Home",6599.0,MediaExpert,Intel Core Ultra 7-258V,32,1000,Intel Arc Graphics 140V,14,Windows 11 Home,,Intel
"Laptop ACER Chromebook 314 CB314-2H-K793 14"" IPS MT8183 8GB RAM 128GB eMMC Chrome OS",1249.99,MediaExpert,MediaTek MT8183,8,128,ARM Mali-G72 MP3,14,Chrome OS,,MediaTek
"Laptop ASUS TUF Gaming A15 FA507NU-LP101 15.6"" IPS 144Hz R5-7535HS 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3",3699.0,MediaExpert,AMD Ryzen 5 7535HS,16,512,NVIDIA GeForce RTX 4050 + AMD Radeon 660M,15.6,Brak,,AMD
"Laptop ASUS VivoBook 16X K3605ZU-RP239W 16"" IPS 144Hz i7-12700H 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3 Windows 11 Home",4999.99,MediaExpert,Intel Core i7-12700H,16,512,NVIDIA GeForce RTX 4050 + Intel Iris Xe Graphics,16,Windows 11 Home,,Intel
"Laptop ASUS VivoBook 16X K3605ZF-RP515W 16"" IPS 144Hz i5-12500H 16GB RAM 512GB SSD GeForce RTX2050 Windows 11 Home",2999.99,MediaExpert,Intel Core i5-12500H,16,512,NVIDIA GeForce RTX 2050 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop MSI Prestige 16 Evo A13M-404PL 16"" IPS 165Hz i7-13700H 16GB RAM 1TB SSD Windows 11 Home",4499.0,MediaExpert,Intel Core i7-13700H,16,1000,Intel Iris Xe Graphics,16,Windows 11 Home,,Intel
"Laptop MSI Sword 17 HX B14VGKG-083XPL 17"" IPS 240Hz i7-14700HX 16GB RAM 1TB SSD GeForce RTX4070 DLSS 3",8199.0,MediaExpert,Intel Core i7-14700HX,16,1000,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,17,Brak,,Intel
"Laptop LENOVO Yoga 9 2-in-1 14IMH9 14"" OLED Ultra 7-155H 32GB RAM 512GB SSD Windows 11 Home",6999.0,MediaExpert,Intel Core Ultra 7-155H,32,512,Intel Arc Graphics,14,Windows 11 Home,,Intel
"Laptop PREDATOR Triton Neo 16 PTN16-51-96SP 16"" IPS 165Hz Ultra 9-185H 32GB RAM 2TB SSD GeForce RTX4070 DLSS 3 Windows 11 Home",8999.99,MediaExpert,Intel Core Ultra 9-185H,32,,NVIDIA GeForce RTX 4070 + Intel Arc Graphics,16,Windows 11 Home,,Intel
"Laptop LENOVO Yoga Slim 7 14Q8X9 14.5"" OLED Snapdragon X Elite 16GB RAM 1TB SSD Windows 11 Home",5199.0,MediaExpert,Qualcomm Snapdragon X Elite X1E-78-100,16,1000,Qualcomm Adreno,14.5,Windows 11 Home,,Qualcomm
"Laptop DELL Inspiron 5440-7449 14"" Core 7 150U 16GB RAM 1TB SSD Windows 11 Professional",4298.0,MediaExpert,Intel Core 7 150U,16,1000,Intel Graphics,14,Windows 11 Professional,,Intel
"Laptop ASUS ExpertBook B3604CMA-Q90306X 16"" Ultra 5-125H 16GB RAM 512GB SSD Windows 11 Professional",3899.0,MediaExpert,Intel Core Ultra 5-125H,16,512,Intel Arc Graphics,16,Windows 11 Professional,,Intel
"Laptop MICROSOFT Surface Laptop Copilot+ PC 13.8"" Snapdragon X Elite 16GB RAM 512GB SSD Windows 11 Home",6299.0,MediaExpert,Qualcomm Snapdragon X Elite,16,512,Qualcomm Adreno,13.8,Windows 11 Home,,Qualcomm
"Laptop PREDATOR Triton Neo 16 PTN16-51-72SR 16"" IPS 165Hz Ultra 7-155H 32GB RAM 1TB SSD GeForce RTX4070 DLSS 3 Windows 11 Home",8599.0,MediaExpert,Intel Core Ultra 7-155H,32,1000,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop MSI Prestige 14 AI Evo C1MG-041PL 14"" IPS 144Hz Ultra 5-125H 16GB RAM 1TB SSD Windows 11 Home",3999.0,MediaExpert,Intel Core Ultra 5-125H,16,1000,Intel Arc Graphics,14,Windows 11 Home,,Intel
"Laptop APPLE MacBook Air 2024 15.3"" M3 8GB RAM 512GB SSD macOS Gwiezdna szarość",6299.0,MediaExpert,Apple M3,8,512,Apple M3 (10 rdzeni),15.3,macOS Sonoma,,Apple
"Laptop ASUS ROG Strix G16 G614JZR-N4030W 16"" IPS 240Hz i9-14900HX 16GB RAM 1TB SSD GeForce RTX4080 DLSS 3 Windows 11 Home",12699.99,MediaExpert,Intel Core i9-14900HX,16,1000,NVIDIA GeForce RTX 4080 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop ASUS ROG Strix Scar 18 G834JZR-N6036W 18"" IPS 240Hz i9-14900HX 32GB RAM 1TB SSD GeForce RTX4080 DLSS 3 Windows 11 Home",16499.99,MediaExpert,Intel Core i9-14900HX,32,1000,NVIDIA GeForce RTX 4080 + Intel UHD Graphics,18,Windows 11 Home,,Intel
"Laptop MSI Katana 17 B12UCRK-1056XPL 17.3"" IPS 144Hz i7-12650H 16GB RAM 512GB SSD GeForce RTX3050",3999.0,MediaExpert,Intel Core i7-12650H,16,512,NVIDIA GeForce RTX 3050 + Intel UHD Graphics,17.3,Brak,,Intel
"Laptop PREDATOR Helios PH16-71-97PT 16"" 240Hz i9-13900HX 16GB RAM 1TB SSD GeForce RTX4080 DLSS 3 Windows 11 Home",9799.99,MediaExpert,Intel Core i9-13900HX,16,1000,NVIDIA GeForce RTX 4080 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop DREAMMACHINES RG3050-15PL52 15.6"" 144Hz i5-13500H 32GB RAM 1TB SSD GeForce RTX3050",3699.99,MediaExpert,Intel Core i5-13500H,32,1000,NVIDIA GeForce RTX 3050 + Intel Iris Xe Graphics,15.6,Brak,,Intel
"Laptop DELL Latitude 3440 14"" IPS i5-1335U 8GB RAM 256GB SSD Windows 11 Professional",3199.0,MediaExpert,Intel Core i5-1335U,8,256,Intel Iris Xe Graphics,14,Windows 11 Professional,,Intel
"Laptop DELL Inspiron 3520-4339 15.6"" i5-1235U 8GB RAM 512GB SSD Windows 11 Professional",2999.0,MediaExpert,Intel Core i5-1235U,8,512,Intel Iris Xe Graphics,15.6,Windows 11 Professional,,Intel
"Laptop PREDATOR Triton 500 SE PT516-51S 16"" IPS 165Hz i9-11900H 32GB RAM 1TB SSD GeForce RTX3080 Windows 11 Home",6999.99,MediaExpert,Intel Core i9-11900H,32,1000,NVIDIA GeForce RTX 3080 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop DREAMMACHINES RG3050Ti-15PL37 15.6"" 144Hz i7-12700H 16GB RAM 500GB SSD GeForce RTX3050Ti",4199.0,MediaExpert,Intel Core i7-12700H,16,500,NVIDIA GeForce RTX 3050 Ti + Intel Iris Xe Graphics,15.6,Brak,,Intel
"Laptop LENOVO ThinkPad E14 Gen 4 14"" IPS R3-5425U 8GB RAM 256GB SSD Windows 11 Professional",4156.72,MediaExpert,AMD Ryzen 3 5425U,8,256,AMD Radeon Graphics,14,Windows 11 Professional,,AMD
"Laptop ACER Swift Edge SFA16-41-R7YG 16"" R7-6850U 32GB RAM 1TB SSD Windows 11 Professional",7999.99,MediaExpert,AMD Ryzen 7 6850U,32,1000,AMD Radeon 680M,16,Windows 11 Professional,,AMD
"Laptop APPLE MacBook Pro 2024 16"" Retina M4 Max 36GB RAM 1TB SSD macOS Srebrny",18499.0,MediaExpert,Apple M4 Max,36,1000,Apple M4 Max (32 rdzeni),16.2,macOS Sequoia,,Apple
"Laptop ASUS ZenBook S 14 UX5406SA-PV030W 14"" OLED Ultra 7-258V 32GB RAM 1TB SSD Windows 11 Home",7999.98,MediaExpert,Intel Core Ultra 7-258V,32,1000,Intel Arc Graphics 140V,14,Windows 11 Home,,Intel
"Laptop ACER Aspire 15 A15-51M-561U 15.6"" IPS Core 5 120U 16GB RAM 512GB SSD Windows 11 Home",3199.0,MediaExpert,Intel Core 5 120U,16,512,Intel Graphics,15.6,Windows 11 Home,,Intel
