Tytuł,Cena,Sklep,Procesor,RAM,Grafika,Typ ekranu,Dysk,Dysk SSD,Dysk SSD,System operacyjny,Firma procesora
Lenovo ThinkBook 14 Ryzen 5 7535HS/16GB/512+1TB/Win11P,4499.0,xkom,AMD Ryzen™ 5 7535HS,16,AMD Radeon™ 660M,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Professional,AMD
Lenovo ThinkBook 16 Ryzen 5 7535HS/32GB/512+1TB/Win11P,4799.0,xkom,AMD Ryzen™ 5 7535HS,32,AMD Radeon™ 660M,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Professional,AMD
Lenovo ThinkBook 16 Ryzen 5 7535HS/16GB/512+1TB/Win11P,4399.0,xkom,AMD Ryzen™ 5 7535HS,16,AMD Radeon™ 660M,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Professional,AMD
Lenovo V15 i3‑1315U/24GB/1TB/Win11P,3199.0,xkom,Intel® Core™ i3-1315U,24,Intel UHD Graphics,"Matowy, LED",1TB,,1024,Windows 11 Professional,Intel
Lenovo V15 i3‑1315U16GB/1TB/Win11P,3099.0,xkom,Intel® Core™ i3-1315U,16,Intel UHD Graphics,"Matowy, LED",1TB,,1024,Windows 11 Professional,Intel
HP 255 G9 Ryzen 5‑5625U/32GB/512/Win11P,2629.0,xkom,AMD Ryzen™ 5 5625U,32,AMD Radeon™ Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,AMD
Lenovo ThinkBook 16 Ryzen 5 7535HS/32GB/512/Win11P,4599.0,xkom,AMD Ryzen™ 5 7535HS,32,AMD Radeon™ 660M,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,AMD
Apple MacBook Air M3/24GB/512/Mac OS Księżycowa poświata 10R GPU,8999.0,xkom,Apple M3,24,Apple M3 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",512,512,512,macOS Sonoma,Apple
Apple MacBook Air M3/16GB/256/Mac OS Księżycowa poświata 10R GPU,6999.0,xkom,Apple M3,16,Apple M3 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",256,256,256,macOS Sonoma,Apple
Apple MacBook Air M3/24GB/512/Mac OS Księżycowa poświata 10R GPU,7999.0,xkom,Apple M3,24,Apple M3 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",512,512,512,macOS Sonoma,Apple
Apple MacBook Pro M4 Max/36GB/1TB/Mac OS Srebrny 32R GPU,18499.0,xkom,Apple M4 Max,36,Apple M4 Max [32 rdzenie],"Błyszczący, mini-LED, Liquid Retina XDR",1TB,,1024,macOS Sonoma,Apple
Lenovo ThinkBook 14 Ryzen 5 7535HS/32GB/512/Win11P,4699.0,xkom,AMD Ryzen™ 5 7535HS,32,AMD Radeon™ 660M,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,AMD
Lenovo ThinkBook 14 Ryzen 5 7535HS/16GB/512/Win11P,4299.0,xkom,AMD Ryzen™ 5 7535HS,16,AMD Radeon™ 660M,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,AMD
Lenovo ThinkBook 16 Ryzen 7 7735HS/32GB/1TB/Win11P,5399.0,xkom,AMD Ryzen™ 7 7735HS,32,AMD Radeon™ 680M,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,AMD
Lenovo ThinkPad L14 Ryzen 5 PRO 7535U/16GB/512/Win11P,5299.0,xkom,AMD Ryzen™ 5 7535U,16,AMD Radeon™ 660M,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,AMD
Lenovo ThinkPad L16 Ryzen 5 PRO 7535U/16GB/512/Win11P,5399.0,xkom,AMD Ryzen™ 5 7535U,16,AMD Radeon™ 660M,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,AMD
Lenovo ThinkPad L16 Ultra 7‑155U/16GB/512/Win11P,5999.0,xkom,Intel® Core™ Ultra 7 155U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Lenovo ThinkPad L16 Ryzen 7 PRO 7735U/32GB/512/Win11P,6399.0,xkom,AMD Ryzen™ 7 PRO 7735U,32,AMD Radeon™ 680M,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,AMD
Lenovo ThinkPad L16 Ryzen 7 PRO 7735U/16GB/512/Win11P,5999.0,xkom,AMD Ryzen™ 7 PRO 7735U,16,AMD Radeon™ 680M,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,AMD
Lenovo ThinkPad T14 Ryzen 5 PRO 8540U/16GB/512/Win11P,6399.0,xkom,AMD Ryzen™ 5 8540U,16,AMD Radeon™ 740M,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,AMD
Lenovo ThinkPad T16 Ultra 5‑125U/32GB/512/Win11P,6799.0,xkom,Intel® Core™ Ultra 5 125U,32,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Lenovo ThinkPad T16 Ultra 5‑125U/16GB/512/Win11P,6399.0,xkom,Intel® Core™ Ultra 5 125U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Apple MacBook Air M2/16GB/256/Mac OS Gwiezdna Szarość 8R GPU,4499.0,xkom,Apple M2,16,Apple M2 [8 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",256,256,256,macOS Sonoma,Apple
ASUS Vivobook 15 i5‑1335U/16GB/512/Win11,2499.0,xkom,Intel® Core™ i5-1335U,16,Intel UHD Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
Lenovo Legion Slim 5‑14 Ryzen 7‑7840HS/32GB/512/Win11 RTX4060 OLED,6299.0,xkom,AMD Ryzen™ 7 7840HS,32,NVIDIA GeForce RTX 4060,"Błyszczący, OLED",512,512,512,Windows 11 Home,AMD
Lenovo V17 i7‑1355U/16GB/512/Win11P,4299.0,xkom,Intel® Core™ i7-1355U,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Apple MacBook Air M2/8GB/256/Mac OS Space Gray,3949.0,xkom,Apple M2,8,Apple M2 [8 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",256,256,256,macOS Sonoma,Apple
Apple MacBook Air M1/16GB/256/Mac OS Space Gray,3999.0,xkom,Apple M1,16,Apple M1 [7 rdzeni],"Błyszczący, LED, IPS, Retina",256,256,256,macOS Sonoma,Apple
Dell Vostro 16 5640 i5‑1334U/16GB/512/Win11P,3999.0,xkom,Intel® Core™ i5-1334U,16,Intel UHD Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Professional,Intel
Dell Inspiron 5430 i7‑1355U/16GB/512/Win11,3699.0,xkom,Intel® Core™ i7-1355U,16,Intel Iris Xe Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Home,Intel
ASUS Vivobook S14 M5406NA R5‑7535HS/16GB/1TB/Win11 OLED,3249.0,xkom,AMD Ryzen™ 5 7535HS,16,AMD Radeon™ Graphics,"Błyszczący, OLED",1TB,,1024,Windows 11 Home,AMD
Acer Aspire 3 i5‑1235U/16GB/1TB/Win11,2799.0,xkom,Intel® Core™ i5-1235U,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
Dell Inspiron 5440 Intel 7 150U/16GB/1TB/Win11,3899.0,xkom,Intel® Core™ 7 150U,16,Intel® Graphics,"Matowy, LED, WVA",1TB,,1024,Windows 11 Home,Intel
Gigabyte G6X 9KG (2024) i7‑13650HX/32GB/1TB/Win11X RTX4060 165Hz,5399.0,xkom,Intel® Core™ i7-13650HX,32,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
HP Victus 15 i5‑12450H/32GB/512/Win11 RTX3050 144Hz,3199.0,xkom,Intel® Core™ i5-12450H,32,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
ASUS TUF Gaming A15 R7‑7735HS/32GB/960/Win11 RTX4060 144Hz,5499.0,xkom,AMD Ryzen™ 7 7735HS,32,NVIDIA GeForce RTX 4060 + AMD Radeon™ 680M,"Matowy, LED, IPS",960,960,960,Windows 11 Home,AMD
ASUS Vivobook 15 X1504VA i3‑1315U/16GB/512,1899.0,xkom,Intel® Core™ i3-1315U,16,Intel UHD Graphics,"Matowy, LED, IPS",,,0,Brak,Intel
Lenovo ThinkPad E16 Ultra 7‑155H/32GB/512/Win11P,5399.0,xkom,Intel® Core™ Ultra 7 155H,32,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
ASUS TUF Gaming A15 R7‑7735HS/16GB/512/Win11 RTX4060 144Hz,5099.0,xkom,AMD Ryzen™ 7 7735HS,16,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",512,512,512,Windows 11 Home,AMD
Dell Inspiron 5435 Ryzen 7 7730U/16GB/1TB/Win11,3499.0,xkom,AMD Ryzen™ 7 7730U,16,AMD Radeon™ Graphics,"Matowy, LED, WVA",1TB,,1024,Windows 11 Home,AMD
Dell Latitude 3550 i5‑1335U/16GB/512/Win11P EDU 5y NBD,3999.0,xkom,Intel® Core™ i5-1335U,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Lenovo IdeaPad Slim 3‑15 Ryzen 5‑7430U/16GB/512/Win11,2399.0,xkom,AMD Ryzen™ 5 7430U,16,AMD Radeon™ Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,AMD
Lenovo Legion 5‑16 i7‑13650HX/32GB/512+1TB/Win11X RTX4060 165Hz,6099.0,xkom,Intel® Core™ i7-13650HX,32,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Home,Intel
Lenovo ThinkBook 16 Ultra 7‑155H/32GB/512+1TB/Win11P,5349.0,xkom,Intel® Core™ Ultra 7 155H,32,Intel Arc™ Graphics,"Matowy, LED",512+1TB,,1536,Windows 11 Professional,Intel
Acer Extensa i5‑1235U/32GB/1TB/Win11 Szary,2599.0,xkom,Intel® Core™ i5-1235U,32,Intel UHD,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
ASUS TUF Gaming F16 i7‑13650HX/32GB/1TB/Win11 RTX4060 165Hz,6099.0,xkom,Intel® Core™ i7-13650HX,32,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
ASUS TUF Gaming A15 R5‑7535HS/16GB/512/Win11 RTX4060 144Hz,4499.0,xkom,AMD Ryzen™ 5 7535HS,16,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",512,512,512,Windows 11 Home,AMD
Dell Vostro 3440 i5‑1334U/16GB/512/Win11P,3099.0,xkom,Intel® Core™ i5-1334U,16,Intel UHD,"Matowy, LED, WVA",512,512,512,Windows 11 Professional,Intel
HP Dragonfly Pro One Ryzen 7‑7736U/32GB/1TB/Win11 Black,3399.0,xkom,AMD Ryzen™ 7 7736U,32,AMD Radeon™ Graphics,"Błyszczący, LED, IPS",1TB,,1024,Windows 11 Home,AMD
Lenovo IdeaPad 3‑17 i5‑1235U/8GB/512/Win11,2449.0,xkom,Intel® Core™ i5-1235U,8,Intel UHD Graphics + Intel UHD,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
Gigabyte AORUS 15 BKF i7‑13620H/16GB/1TB/Win11X RTX4060 165Hz,4944.0,xkom,Intel® Core™ i7-13620H,16,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
Acer Nitro V i5‑13420H/16GB/1TB/Win11 RTX2050 144Hz,2999.0,xkom,Intel® Core™ i5-13420H,16,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
Lenovo ThinkPad T16 Ultra 5‑125U/32GB/512/Win11P,7499.0,xkom,Intel® Core™ Ultra 5 125U,32,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Lenovo ThinkPad T16 Ultra 5‑125U/16GB/512/Win11P,7099.0,xkom,Intel® Core™ Ultra 5 125U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Lenovo ThinkPad T14 Ryzen 7 PRO 8840U/16GB/512/Win11P,7099.0,xkom,AMD Ryzen™ 7 PRO 8840U,16,AMD Radeon™ 780M,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,AMD
Lenovo ThinkPad X1 2w1 Ultra 7‑155U/32GB/1TB/Win11P OLED,16299.0,xkom,Intel® Core™ Ultra 7 155U,32,Intel® Graphics,"Matowy, OLED",1TB,,1024,Windows 11 Professional,Intel
Lenovo ThinkPad P1 Ultra 7‑165H/32GB/1TB/Win11P RTX4070 165Hz,16599.0,xkom,Intel® Core™ Ultra 7 165H,32,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
ASUS ExpertBook 14 P5405CSA Ultra 7‑258V/32GB/1TB/Win11 144Hz,6599.0,xkom,Intel® Core™ Ultra 7 258V,32,Intel® Arc™ Graphics 140V,"Matowy, LED, WVA",1TB,,1024,Windows 11 Home,Intel
ASUS ExpertBook 14 P5405CSA Ultra 5‑226V/16GB/512/Win11 144Hz,5399.0,xkom,Intel® Core™ Ultra 5 226V,16,Intel® Arc™ Graphics 130V,"Matowy, LED, WVA",512,512,512,Windows 11 Home,Intel
Acer TravelMate P2 Core 5‑120U/16GB/512/Win11 Pro NBD,3699.0,xkom,Intel® Core™ 5 120U,16,Intel UHD Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
Acer Swift 14 AI X Plus X1P‑42‑100/16GB/512/Win11 120Hz,3999.0,xkom,Qualcomm Snapdragon X Plus,16,Qualcomm® Adreno™,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Qualcomm
Gigabyte AORUS 15X AKF i9‑13980HX/16GB/1TB+1TB/Win11 RTX4060 165Hz UK,6299.0,xkom,Intel® Core™ i9-13980HX,16,NVIDIA GeForce RTX 4060,,1TB+1TB,,2048,Windows 11 Home,Intel
Gigabyte G5 (2024) i7‑13620H/32GB/1TB+1TB/Win11+M365 RTX4050 144Hz UK,4599.0,xkom,Intel® Core™ i7-13620H,32,NVIDIA GeForce RTX 4050,,1TB+1TB,,2048,Windows 11 Home,Intel
Gigabyte G5 (2024) i7‑13620H/16GB/1TB+1TB/Win11+M365 RTX4050 144Hz UK,4199.0,xkom,Intel® Core™ i7-13620H,16,NVIDIA GeForce RTX 4050,,1TB+1TB,,2048,Windows 11 Home,Intel
Dell Vostro 3440 i5‑1334U/16GB/512/Win11P 2.2K,3899.0,xkom,Intel® Core™ i5-1334U,16,Intel Iris Xe Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Professional,Intel
Dell Latitude 5550 i5‑1335U/16GB/512+2TB/Win11P,6199.0,xkom,Intel® Core™ i5-1335U,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",512+2TB,,2560,Windows 11 Professional,Intel
Gigabyte AORUS 16X (2024) i7‑14650HX/16GB/1TB+1TB/W11X RTX4070 165Hz,7799.0,xkom,Intel® Core™ i7-14650HX,16,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,,1TB+1TB,,2048,Windows 11 Home,Intel
Acer Aspire 15 Core 5‑120U/16GB/512/Win11,3199.0,xkom,Intel® Core™ 5 120U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
Dell XPS 13 9350 Ultra 7‑256V/16GB/512/Win11P AI,10499.0,xkom,Intel® Core™ Ultra 7 256V,16,Intel® Arc™ Graphics 140V,"Błyszczący, LED, WVA",512,512,512,Windows 11 Professional,Intel
Dell Inspiron 5440 Intel 7 150U/16GB/1TB/Win11P MX570,5799.0,xkom,Intel® Core™ 7 150U,16,Intel® Graphics,"Matowy, LED, WVA",1TB,,1024,Windows 11 Professional,Intel
Gigabyte AORUS 16X (2024) i7‑13650HX/16GB/1TB+1TB/Win11X RTX4060 165H,5799.0,xkom,Intel® Core™ i7-13650HX,16,NVIDIA GeForce RTX 4060,,1TB+1TB,,2048,Windows 11 Home,Intel
Gigabyte AORUS 16X (2024) i7‑13650HX/16GB/1TB+1TB RTX4060 165Hz,5299.0,xkom,Intel® Core™ i7-13650HX,16,NVIDIA GeForce RTX 4060,,,,0,Brak,Intel
MSI Vector 17 HX i9‑14900HX/32GB/1TB/Win11 RTX4090 240Hz,15999.0,xkom,Intel® Core™ i9-14900HX,32,NVIDIA GeForce RTX 4090,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
MSI Vector 17 HX i9‑14900HX/32GB/1TB/Win11 RTX4080 240Hz,11999.0,xkom,Intel® Core™ i9-14900HX,32,NVIDIA GeForce RTX 4080,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
MSI Katana A17 AI Ryzen 7‑8845HS/32GB/1TB RTX4060,5799.0,xkom,AMD Ryzen™ 7 8845HS,32,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",,,0,Brak,AMD
MSI Katana A17 AI Ryzen 7‑8845HS/32GB/1TB/Win11X RTX4060,6349.0,xkom,AMD Ryzen™ 7 8845HS,32,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,AMD
MSI Katana A17 AI Ryzen 7‑8845HS/16GB/1TB/Win11X RTX4060,5949.0,xkom,AMD Ryzen™ 7 8845HS,16,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,AMD
MSI Katana A17 AI Ryzen 7‑8845HS/16GB/1TB RTX4060,5399.0,xkom,AMD Ryzen™ 7 8845HS,16,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",,,0,Brak,AMD
MSI Cyborg 15 i7‑13620H/32GB/512 RTX4060,5199.0,xkom,Intel® Core™ i7-13620H,32,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,"Matowy, LED, IPS",,,0,Brak,Intel
MSI Cyborg 15 i7‑13620H/32GB/512/Win11X RTX4060,5749.0,xkom,Intel® Core™ i7-13620H,32,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
MSI Cyborg 15 i7‑13620H/16GB/512/Win11X RTX4060,5349.0,xkom,Intel® Core™ i7-13620H,16,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
MSI Cyborg 15 i7‑13620H/16GB/512 RTX4060,4799.0,xkom,Intel® Core™ i7-13620H,16,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,"Matowy, LED, IPS",,,0,Brak,Intel
MSI Prestige A16 AI+ Ryzen AI 9‑365/32GB/1TB/Win11 OLED,7599.0,xkom,AMD Ryzen™ AI 9 HX 365,32,AMD Radeon™ 880M,"Błyszczący, OLED",1TB,,1024,Windows 11 Home,AMD
MSI Commercial 14 H i5‑13500H/32GB/1TB/Win11P,4799.0,xkom,Intel® Core™ i5-13500H,32,Intel Iris Xe Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
MSI Commercial 14 H i5‑13500H/16GB/1TB/Win11P,4399.0,xkom,Intel® Core™ i5-13500H,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
Dell XPS 13 9350 Ultra 7‑258V/32GB/1TB/Win11P AI,11299.0,xkom,Intel® Core™ Ultra 7 258V,32,Intel® Arc™ Graphics 140V,"Błyszczący, LED, WVA",1TB,,1024,Windows 11 Professional,Intel
Dell XPS 13 9350 Ultra 7‑256V/16GB/512/Win11P AI,10499.0,xkom,Intel® Core™ Ultra 7 256V,16,Intel® Arc™ Graphics 140V,"Błyszczący, LED, WVA",512,512,512,Windows 11 Professional,Intel
Dell Inspiron 5441 X1P‑64‑100/16GB/1TB/Win11 AI,5299.0,xkom,Qualcomm Snapdragon X Plus,16,Qualcomm® Adreno™,"Matowy, LED, WVA",1TB,,1024,Windows 11 Home,Qualcomm
Dell Latitude 5550 i7‑1365U/16GB/512+2TB/Win11P,7399.0,xkom,Intel® Core™ i7-1365U,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",512+2TB,,2560,Windows 11 Professional,Intel
Dell Latitude 5550 i7‑1365U/16GB/512+1TB/Win11P,7199.0,xkom,Intel® Core™ i7-1365U,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Professional,Intel
HP EliteBook 830 G11 Ultra 7‑165U/16GB/512/Win11P,8099.0,xkom,Intel® Core™ Ultra 7 165U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP EliteBook 860 G11 Ultra 7‑165U/16GB/512/Win11P,7799.0,xkom,Intel® Core™ Ultra 7 165U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP EliteBook 860 G11 Ultra 7‑155H/16GB/512/Win11P,7399.0,xkom,Intel® Core™ Ultra 7 155H,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP EliteBook 860 G11 Ultra 7‑155U/16GB/512/Win11P,7199.0,xkom,Intel® Core™ Ultra 7 155U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP EliteBook 860 G11 Ultra 5‑135U/16GB/512/Win11P,6499.0,xkom,Intel® Core™ Ultra 5 135U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP EliteBook 860 G11 Ultra 5‑125H/16GB/512/Win11P,6699.0,xkom,Intel® Core™ Ultra 5 125H,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP EliteBook 860 G11 Ultra 5‑125U/16GB/512/Win11P,6399.0,xkom,Intel® Core™ Ultra 5 125U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP Elitebook 665 G11 Ryzen 7Pro‑7735U/16GB/512/Win11P,5699.0,xkom,AMD Ryzen™ 7 PRO 7735U,16,AMD Radeon™ 680M,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,AMD
HP Elitebook 665 G11 Ryzen 7‑7735U/16GB/512/Win11P,5399.0,xkom,AMD Ryzen™ 7 7735U,16,AMD Radeon™ 680M,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,AMD
HP Elitebook 665 G11 Ryzen 5Pro‑7535U/16GB/512/Win11P,5199.0,xkom,AMD Ryzen™ 5 PRO 7535U,16,AMD Radeon™ 660M,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,AMD
HP ProBook 465 Ryzen 5‑7535U/16GB/512/Win11P,3799.0,xkom,AMD Ryzen™ 5 7535U,16,AMD Radeon™ 660M,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,AMD
HP ProBook 460 G11 Ultra 7‑155H/16GB/512/Win11P,4999.0,xkom,Intel® Core™ Ultra 7 155H,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP ProBook 460 G11 Ultra 7‑155U/16GB/512/Win11P,4899.0,xkom,Intel® Core™ Ultra 7 155U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP ProBook 460 G11 Ultra 5‑125U/16GB/512/Win11P,4299.0,xkom,Intel® Core™ Ultra 5 125U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP Elite x360 1040 G11 Ultra 7‑155H/16GB/512/Win11P,9399.0,xkom,Intel® Core™ Ultra 7 155H,16,Intel Arc™ Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP Elite x360 1040 G11 Ultra 7‑155H/32GB/1TB/Win11P,9699.0,xkom,Intel® Core™ Ultra 7 155H,32,Intel Arc™ Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
HP Elite x360 1040 G11 Ultra 7‑155H/16GB/512/Win11P,9149.0,xkom,Intel® Core™ Ultra 7 155H,16,Intel Arc™ Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP Elite x360 1040 G11 Ultra 7‑155H/32GB/1TB/Win11P,9699.0,xkom,Intel® Core™ Ultra 7 155H,32,Intel Arc™ Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
HP Elite x360 1040 G11 Ultra 7‑155H/16GB/512/Win11P,9599.0,xkom,Intel® Core™ Ultra 7 155H,16,Intel Arc™ Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP EliteBook 840 G11 Ultra 7‑155H/32GB/1TB/Win11P,8099.0,xkom,Intel® Core™ Ultra 7 155H,32,Intel® Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
HP EliteBook 840 G11 Ultra 7‑155U/16GB/512/Win11P 5G,7499.0,xkom,Intel® Core™ Ultra 7 155U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP EliteBook 840 G11 Ultra 7‑165U/16GB/512/Win11P,7699.0,xkom,Intel® Core™ Ultra 7 165U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP EliteBook 840 G11 Ultra 7‑155U/32GB/1TB/Win11P,7999.0,xkom,Intel® Core™ Ultra 7 155U,32,Intel® Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
HP EliteBook 840 G11 Ultra 7‑155U/16GB/512/Win11P 4G,7499.0,xkom,Intel® Core™ Ultra 7 155U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP EliteBook 840 G11 Ultra 5‑135U/16GB/512/Win11P,6499.0,xkom,Intel® Core™ Ultra 5 135U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP EliteBook 645 G11 Ryzen 7Pro‑7735U/32GB/1TB/Win11P,6299.0,xkom,AMD Ryzen™ 7 PRO 7735U,32,AMD Radeon™ 680M,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,AMD
HP EliteBook 645 G11 Ryzen 7Pro‑7735U/16GB/512/Win11P,5899.0,xkom,AMD Ryzen™ 7 PRO 7735U,16,AMD Radeon™ 680M,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,AMD
HP EliteBook 645 G11 Ryzen 7‑7735U/16GB/512/Win11P,5399.0,xkom,AMD Ryzen™ 7 7735U,16,AMD Radeon™ 680M,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,AMD
HP EliteBook 645 G11 Ryzen 5Pro‑7535U/16GB/512/Win11P,5399.0,xkom,AMD Ryzen™ 5 PRO 7535U,16,AMD Radeon™ 660M,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,AMD
HP ProBook 445 G11 Ryzen 7‑7735U/16GB/512/Win11P,4299.0,xkom,AMD Ryzen™ 7 7735U,16,AMD Radeon™ 680M,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,AMD
HP ProBook 445 G11 Ryzen 5‑7535U/16GB/512/Win11P,3899.0,xkom,AMD Ryzen™ 5 7535U,16,AMD Radeon™ 660M,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,AMD
HP ProBook 440 G11 Ultra 7‑155U/16GB/512/Win11P,4899.0,xkom,Intel® Core™ Ultra 7 155U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP ProBook 440 G11 Ultra 5‑125H/16GB/512/Win11P,4399.0,xkom,Intel® Core™ Ultra 5 125H,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
