Tytuł,Cena,Sklep,Procesor,RAM,Grafika,Typ ekranu,Dysk,Dysk SSD,Dysk SSD,System operacyjny,Firma procesora
ASUS ZenBook 14 UX3405MA Ultra 5‑125H/16GB/1TB/Win11 OLED 120Hz,4599.0,xkom,Intel® Core™ Ultra 5 125H,16,Intel Arc™ Graphics,"Błyszczący, OLED",1TB,,1024,Windows 11 Home,Intel
Lenovo Yoga 7 2‑in‑1 Ultra 5‑125H/16GB/1TB/Win11,4699.0,xkom,Intel® Core™ Ultra 5 125H,16,Intel Arc™ Graphics,"Błyszczący, OLED",1TB,,1024,Windows 11 Home,Intel
Acer Aspire 3 R7‑5700U/16GB/512/Win11,2399.0,xkom,AMD Ryzen™ 7 5700U,16,AMD Radeon™ Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,AMD
Lenovo IdeaPad Gaming 3‑15 R5‑7535HS/32GB/512+1TB/Win11 RTX3050,3749.0,xkom,AMD Ryzen™ 5 7535HS,32,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Home,AMD
ASUS ZenBook 14 UM3406HA R7‑8840HS/16GB/1TB/Win11 OLED 120Hz,3999.0,xkom,AMD Ryzen™ 7 8840HS,16,AMD Radeon™ Graphics,"Błyszczący, OLED",1TB,,1024,Windows 11 Home,AMD
ASUS Vivobook 16X i5‑12500H/16GB/512/Win11 RTX2050,2599.0,xkom,Intel® Core™ i5-12500H,16,NVIDIA GeForce RTX 2050 + Intel UHD Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
Dell Inspiron 5440 Intel 7 150U/16GB/1TB/Win11 MX570A,4899.0,xkom,Intel® Core™ 7 150U,16,NVIDIA GeForce MX570A + Intel® Graphics,"Matowy, LED, WVA",1TB,,1024,Windows 11 Home,Intel
Apple MacBook Air M3/16GB/512/Mac OS Północ 10R GPU,7999.0,xkom,Apple M3,16,Apple M3 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",512,512,512,macOS Sonoma,Apple
Gigabyte G6X 9KG (2024) i7‑13650HX/32GB/1TB+1TB RTX4060 165Hz,5199.0,xkom,Intel® Core™ i7-13650HX,32,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",,,0,Brak,Intel
ASUS TUF Gaming A15 R7‑7735HS/32GB/1TB RTX4060 144Hz,5299.0,xkom,AMD Ryzen™ 7 7735HS,32,NVIDIA GeForce RTX 4060 + AMD Radeon™ 680M,"Matowy, LED, IPS",,,0,Brak,AMD
Apple MacBook Pro M4 Pro/48GB/512/Mac OS Gwiezdna Czerń 20R GPU,14999.0,xkom,Apple M4 Pro,48,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",512,512,512,macOS Sonoma,Apple
Gigabyte AORUS 16X (2024) i7‑13650HX/16GB/1TB RTX4060 165Hz,4999.0,xkom,Intel® Core™ i7-13650HX,16,NVIDIA GeForce RTX 4060,,,,0,Brak,Intel
HP Victus 16 Ryzen 5‑7640HS/16GB/512 RTX4060 144Hz,3999.0,xkom,AMD Ryzen™ 5 7640HS,16,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",,,0,Brak,AMD
Acer Nitro 17 R7‑8845HS/64GB/1TB+1TB/Win11PX RTX4070 165Hz QHD,8499.0,xkom,AMD Ryzen™ 7 8845HS,64,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",1TB+1TB,,2048,Windows 11 Professional,AMD
Acer Nitro 16 R7‑8845HS/32GB/512+1TB/Win11 RTX4060 165Hz,5799.0,xkom,AMD Ryzen™ 7 8845HS,32,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Home,AMD
Acer Nitro 16 R7‑8845HS/16GB/512 RTX4060 165Hz,4999.0,xkom,AMD Ryzen™ 7 8845HS,16,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",,,0,Brak,AMD
Acer Swift X Ultra 7 155H/16GB/1TB/Win11 RTX3050 120Hz,4649.0,xkom,Intel® Core™ Ultra 7 155H,16,NVIDIA GeForce RTX 3050,,1TB,,1024,Windows 11 Home,Intel
ASUS TUF Gaming F16 i7‑13650HX/16GB/1TB/Win11 RTX4060 165Hz,5799.0,xkom,Intel® Core™ i7-13650HX,16,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
ASUS TUF Gaming A15 R7‑7735HS/32GB/1TB/Win11 RTX4060 144Hz,5699.0,xkom,AMD Ryzen™ 7 7735HS,32,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,AMD
ASUS ExpertBook B3604CMA Ultra 5‑125H/16GB/512/Win11P,3899.0,xkom,Intel® Core™ Ultra 5 125H,16,Intel® Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Professional,Intel
Gigabyte AERO 16 OLED BSF i7‑13620H/16GB/1TB/Win11 RTX4070,6899.0,xkom,Intel® Core™ i7-13620H,16,NVIDIA GeForce RTX 4070 + Intel Iris Xe Graphics,"Błyszczący, OLED",1TB,,1024,Windows 11 Home,Intel
