Tytuł,Cena,Link,Ekran:,Procesor:,Pamięć:,Grafika:,Dysk:,System operacyjny:
"Apple MacBook Pro 2024 14,2"" M4 Pro 24GB RAM 512GB Dysk macOS Srebrny",10 499,https://www.euro.com.pl/laptopy-i-netbooki/apple-laptop-mbp-14-m4p-12-16-24-512gb-silver.bhtml,"14,2 "", 3024 x 1964 pikseli 120 Hz",Apple M4 Pro,24 GB zunifikowana RAM,Apple M4 Pro (16-rdzeni),512 GB SSD,macOS Sequoia lub nowszy
"Laptop gamingowy MSI Stealth 16 AI Studio A1VIG-009PL 16"" 120Hz Ultra 9 185H 32GB RAM 2TB Dysk SSD RTX4090 DLSS3 Win11 Niebieski",14 799,https://www.euro.com.pl/laptopy-i-netbooki/msi-laptop-stealt16-u9-32-2tb-4090-w11-d-f-m.bhtml,"16 "", 3840 x 2400 pikseli 120 Hz",Intel® Core™ Ultra 9 14gen 185H,32 GB DDR5 5600 Mhz RAM,NVIDIA® GeForce RTX™ 4090 + Intel Arc Graphics,2 TB SSD,Windows 11 Home Edition
"Laptop biznesowy Acer TravelMate P2 16 TMP216-51-G2-TCO 16"" Core 5 120U 16GB RAM 512GB Dysk SSD Win11 Pro Szary",3 399,https://www.euro.com.pl/laptopy-i-netbooki/acer-laptop-acer-u5-16gb-512gb-w11p_7.bhtml,"16 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ 5 120U,16 GB DDR5 RAM,Intel® Graphics,512 GB SSD,Windows 11 Professional
Laptop gamingowy ASUS TUF Gaming A16 2024 FA608WV-R7161W 16'' 165Hz Ryzen AI 9 HX 370 16GB RAM 1TB Dysk SSD RTX4060 Win11 Szary,6 799,https://www.euro.com.pl/laptopy-i-netbooki/asus-laptop-asus-tuf-r9-16gb-1tb-4060-w11.bhtml,"16 "", 2560 x 1600 pikseli 165 Hz",AMD Ryzen™ AI 9 HX 370,16 GB LPDDR5x 7500 Mhz RAM,NVIDIA® GeForce RTX 4060 + AMD Radeon™ 890M,1 TB SSD,Windows 11 Home Edition
"Laptop biznesowy Lenovo ThinkPad T16 Gen 2 16"" R7 7840U 32GB RAM 1TB Dysk SSD Win11 Pro Czarny",7 399,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-len-r7pro7840u-32gb-1tb-16-w11p.bhtml,"16 "", 1920 x 1200 pikseli 60 Hz",AMD Ryzen™ 7 7840U,32 GB LPDDR5x 6400 Mhz RAM,AMD Radeon™ 780M Graphics,1 TB SSD,Windows 11 Professional
"Laptop 2w1 Microsoft Surface Pro Copilot+ PC OLED 13"" Snapdragon X Elite 16GB RAM 1TB Dysk SSD Win11 Platynowy",8 999,https://www.euro.com.pl/laptopy-i-netbooki/microsoft-laptop-surface-pro-13-x1e-16gb-1tb-w11.bhtml,"13 "", ekran dotykowy 2880 x 1920 pikseli 120 Hz",Qualcomm® Snapdragon® X Elite,16 GB LPDDR5X RAM,Qualcomm® Adreno™ Graphics,1 TB SSD,Windows 11 Home Edition
"Laptop biznesowy Acer TravelMate P2 TMP215-54-53TA 15,6"" i5-1235U 8GB RAM 512GB Dysk SSD Win11 Pro Czarny",2 549,https://www.euro.com.pl/laptopy-i-netbooki/acer-laptop-acer-i5-1235u-8gb-512ssd-w11p.bhtml,"15,6 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ i5 12gen 1235U,8 GB DDR4 RAM,Intel® Iris Xe Graphics,512 GB SSD,Windows 11 Professional
"Laptop ultrabook MSI Prestige 13 AI Evo A1MG-082PL OLED 13,3"" Ultra 5 125H 32GB RAM 1TB Dysk SSD Win11 Szary + Zestaw AKC",4 799,https://www.euro.com.pl/laptopy-i-netbooki/msi-prestige-13-ai-evo-a1mg-082pl-oled-13-3-ultra-5-125h-32gb-ram-1tb-dysk-ssd-win11-szary.bhtml,"13,3 "", 2880 x 1800 pikseli 60 Hz",Intel® Core™ Ultra 5 14gen 125H,32 GB LPDDR5 6400 Mhz RAM,Intel® Arc Graphics,1 TB SSD,Windows 11 Home Edition
"Laptop 2w1 ASUS ROG Flow X16 2023 GV601RW-M5048W 16"" 240Hz i9-13900H 16GB RAM 1TB Dysk SSD RTX4060 Win11 Czarny",8 999,https://www.euro.com.pl/laptopy-i-netbooki/asus-laptop-asus-rog-i9-16gb-1tb-4060-w11.bhtml,"16 "", ekran dotykowy 2560 x 1600 pikseli 240 Hz",Intel® Core™ i9 13gen 13900H,16 GB DDR5 4800 Mhz RAM,NVIDIA® GeForce RTX™ 4060 + Intel Iris Xe Graphics,1 TB SSD,Windows 11 Home Edition
"Laptop chromebook Acer Chromebook Plus 514 Google AI laptop CB514-3H-R36J 14"" R5 7520C 8GB RAM 512GB Dysk SSD ChromeOS Szary",2 449,https://www.euro.com.pl/laptopy-i-netbooki/acer-laptop-acer-r57520c-8gb-512gb-14-chrom.bhtml,"14 "", 1920 x 1200 pikseli 60 Hz",AMD Ryzen™ 5 7520C,8 GB LPDDR5X RAM,AMD Radeon™ 610M,512 GB SSD,Chrome OS
"Laptop 2w1 ASUS ROG Flow X16 2023 GV601RW-M5048W 16"" 240Hz i9-13900H 16GB RAM 1TB Dysk SSD RTX4060 Win11 Czarny",8 999,https://www.euro.com.pl/laptopy-i-netbooki/asus-laptop-asus-rog-i9-16gb-1tb-4060-w11.bhtml,"16 "", ekran dotykowy 2560 x 1600 pikseli 240 Hz",Intel® Core™ i9 13gen 13900H,16 GB DDR5 4800 Mhz RAM,NVIDIA® GeForce RTX™ 4060 + Intel Iris Xe Graphics,1 TB SSD,Windows 11 Home Edition
"Laptop chromebook Acer Chromebook Plus 514 Google AI laptop CB514-3H-R36J 14"" R5 7520C 8GB RAM 512GB Dysk SSD ChromeOS Szary",2 449,https://www.euro.com.pl/laptopy-i-netbooki/acer-laptop-acer-r57520c-8gb-512gb-14-chrom.bhtml,"14 "", 1920 x 1200 pikseli 60 Hz",AMD Ryzen™ 5 7520C,8 GB LPDDR5X RAM,AMD Radeon™ 610M,512 GB SSD,Chrome OS
Laptop 2w1 HP Spectre x360 16-f1222nw OLED 16'' i7-1260P 16GB RAM 1TB Dysk SSD ARC A370M Win11 Pro Czarny,7 499,https://www.euro.com.pl/laptopy-i-netbooki/hp-laptop-spectre-x360-16-i7-16g-1t-arc-w11_1.bhtml,"16 "", ekran dotykowy 3840 x 2400 pikseli",Intel® Core™ i7 12gen 1260P,16 GB DDR4 3200 MHz RAM,Intel® Arc™ A370M + Intel Iris Xe Graphics,1 TB SSD,Windows 11 Professional
Laptop gamingowy HP OMEN 16-u0042nw 16'' 240Hz i9-13900HX 32GB RAM 1TB Dysk SSD RTX4070 DLSS3 Win11 Biały,9 999,https://www.euro.com.pl/laptopy-i-netbooki/hp-laptop-omen-16-i9-32gb-1tb-4070-w11_1.bhtml,"16 "", 2560 x 1600 pikseli 240 Hz",Intel® Core™ i9 13gen 13900HX,32 GB DDR5 5600 Mhz RAM,NVIDIA® GeForce RTX™ 4070 + Intel UHD Graphics,1 TB SSD,Windows 11 Home Edition
"Laptop ultrabook ASUS Vivobook 14X K3405VC-LY060 14"" i5-13500H 16GB RAM 512GB Dysk SSD RTX3050 Czarny",3 999,https://www.euro.com.pl/laptopy-i-netbooki/asus-laptop-k3405-14-i5-16gb-512gb-3050-no-os.bhtml,"14 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ i5 13gen 13500H,16 GB DDR4 RAM,NVIDIA® GeForce RTX™3050 + Intel Iris Xe Graphics,512 GB SSD,bez systemu
"Laptop biznesowy HP EliteBook 640 G11 14"" Ultra 7 155U 32GB RAM 1TB Dysk SSD Win11 Pro Srebrny",6 399,https://www.euro.com.pl/laptopy-i-netbooki/hp-laptop-hp-ultra-7-155u-32gb-1tb-14-w11p.bhtml,"14 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ Ultra 7 14gen 155U,32 GB DDR5 5600 Mhz RAM,Intel® Graphics,1 TB SSD,Windows 11 Professional
"Laptop MSI Modern 15 H AI C1MG-010PL 15,6"" Ultra 7 155H 16GB RAM 512GB Dysk SSD Win11 Czarny",3 499,https://www.euro.com.pl/laptopy-i-netbooki/msi-laptop-modern-15-h-ai-u7-16-512gb-w11.bhtml,"15,6 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ Ultra 7 14gen 155H,16 GB DDR5 5600 Mhz RAM,Intel® Arc™ Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop Dell Inspiron 5635-9935 16"" R7 7730U 16GB RAM 512GB Dysk SSD Win11 Srebrny",4 299,https://www.euro.com.pl/laptopy-i-netbooki/dell-inspiron-5635-9935-16-r7-7730u-16gb-ram-512gb-dysk-ssd-win11.bhtml,"16 "", 1920 x 1200 pikseli 60 Hz",AMD Ryzen™ 7 7730U,16 GB LPDDR4x 4266 MHz RAM,AMD Radeon™ Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop 2w1 Dell Inspiron 14 7440-7487 2w1 14"" Core 5 120U 16GB RAM 1TB Dysk SSD Win11 Pro Srebrny",4 999,https://www.euro.com.pl/laptopy-i-netbooki/dell-laptop-inspiron-2in1-14-i5-16gb-1tb-w11p.bhtml,"14 "", ekran dotykowy 1920 x 1200 pikseli 60 Hz",Intel® Core™ 5 14gen 120U,16 GB DDR5 5200 Mhz RAM,Intel® Graphics,1 TB SSD,Windows 11 Professional
"Laptop biznesowy Acer TravelMate P4 16 TMP416-52-TCO 16"" i7-1355U 16GB RAM 512GB Dysk SSD RTX2050 Win11 Pro Czarno-niebieski",5 229,https://www.euro.com.pl/laptopy-i-netbooki/acer-laptop-acer-i7-16gb-512gb-2050-w11p.bhtml,"16 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ i7 13gen 1355U,16 GB DDR4 RAM,NVIDIA® GeForce RTX 2050 + Intel Iris Xe Graphics,512 GB SSD,Windows 11 Professional
"Apple MacBook Air 2023 15,3"" M2 8GB RAM 512GB Dysk macOS Gwiezdna Szarość",6 899,https://www.euro.com.pl/laptopy-i-netbooki/apple-macbook-air-2023-15-3-m2-8gb-ram-512gb-dysk-macos-gwiezdna-szarosc.bhtml,"15,3"", 2880 x 1864 pikseli",Apple M2,8 GB zunifikowana RAM,Apple M2 (10-rdzeni),512 GB SSD,macOS Ventura lub nowszy
Laptop 2w1 HP Spectre x360 16-f1272nw OLED 16'' i7-1260P 32GB RAM 2TB Dysk SSD ARC A370M Win11 Pro Niebieski,8 999,https://www.euro.com.pl/laptopy-i-netbooki/hp-laptop-spectre-x360-16-i7-32g-2t-arc-w11.bhtml,"16 "", ekran dotykowy 3840 x 2400 pikseli",Intel® Core™ i7 12gen 1260P,32 GB DDR4 3200 MHz RAM,Intel® Arc™ A370M + Intel Iris Xe Graphics,2 TB SSD,Windows 11 Professional
"Apple MacBook Pro 2024 14,2"" M4 Pro 24GB RAM 512B Dysk macOS Gwiezdna Czerń",10 499,https://www.euro.com.pl/laptopy-i-netbooki/apple-laptop-mbp-14-m4p-12-16-24gb-512gb-sb.bhtml,"14,2 "", 3024 x 1964 pikseli 120 Hz",Apple M4 Pro,24 GB zunifikowana RAM,Apple M4 Pro (16-rdzeni),512 GB SSD,macOS Sequoia lub nowszy
"Laptop biznesowy Acer TravelMate P2 16 TMP216-41-TCO 16"" R5 7535U 16GB RAM 512GB Dysk SSD Win11 Pro Szary",3 299,https://www.euro.com.pl/laptopy-i-netbooki/acer-laptop-acer-r5-pro-16gb-512gb-w11p.bhtml,"16 "", 1920 x 1200 pikseli 60 Hz",AMD Ryzen™ 5 7535U,16 GB DDR4 RAM,AMD Radeon™ 660M,512 GB SSD,Windows 11 Professional
"Apple MacBook Air 2024 15,3"" M3 16GB RAM 256GB Dysk macOS Księżycowa Poświata",6 199,https://www.euro.com.pl/laptopy-i-netbooki/apple-laptop-mba-15-m3-8-10-16gb-256gb-sl.bhtml,"15,3"", 2880 x 1864 pikseli",Apple M3,16 GB zunifikowana RAM,Apple M3 (10-rdzeni),256 GB SSD,macOS Sonoma lub nowszy
"Apple MacBook Pro 2023 14,2"" M3 Pro 36GB RAM 512GB Dysk macOS Gwiezdna Czerń",12 999,https://www.euro.com.pl/laptopy-i-netbooki/apple-laptop-mbp-14-m3-pro-36gb-512gb-70w-sb.bhtml,"14,2 "", 3024 x 1964 pikseli 120 Hz",Apple M3 Pro,36 GB zunifikowana RAM,Apple M3 Pro (14-rdzeni),512 GB SSD,macOS Sequoia lub nowszy
"Laptop biznesowy HP ProBook 455 G10 15,6"" R7 7730U 16GB RAM 512GB Dysk SSD Win11 Pro Srebrny",3 999,https://www.euro.com.pl/laptopy-i-netbooki/hp-laptop-hpr7-7730u-16gb-512gb-w11p.bhtml,"15,6 "", 1920 x 1080 pikseli 60 Hz",AMD Ryzen™ 7 7730U,16 GB DDR4 3200 MHz RAM,AMD Radeon™ Graphics,512 GB SSD,Windows 11 Professional
"Laptop Acer Swift Go 16 SFG16-72-57MD OLED 16"" Ultra 5 125H 16GB RAM 1TB Dysk SSD Win11 Szary",4 399,https://www.euro.com.pl/laptopy-i-netbooki/acer-laptop-swift-16-u5-16gb-1tb-w11.bhtml,"16 "", 3200 x 2000 pikseli 120 Hz",Intel® Core™ Ultra 5 14gen 125H,16 GB LPDDR5X RAM,Intel® Arc Graphics,1 TB SSD,Windows 11 Home Edition
"Laptop gamingowy Acer Nitro V 15 ANV15-41-R9Y0 15,6"" 165Hz R5 7535HS 32GB RAM 1TB Dysk SSD RTX4060 DLSS3 Czarny",4 999,https://www.euro.com.pl/laptopy-i-netbooki/acer-laptop-nitro-v-r5-32gb-1tb-4060-no-os_1.bhtml,"15,6 "", 1920 x 1080 pikseli 165 Hz",AMD Ryzen™ 5 7535HS,32 GB DDR5 RAM,NVIDIA® GeForce RTX™ 4060 + AMD Radeon™ 660M,1 TB SSD,bez systemu
"Laptop 2w1 Microsoft Surface Pro Copilot+ PC 13"" Snapdragon X Plus 16GB RAM 512GB Dysk SSD Win11 Platynowy",6 499,https://www.euro.com.pl/laptopy-i-netbooki/microsoft-surface-pro-11-copilot-pc-13-snapdragon-x-plus-16gb-ram-512gb-dysk-ssd-win11-platynowy.bhtml,"13 "", ekran dotykowy 2880 x 1920 pikseli 120 Hz",Qualcomm® Snapdragon® X Plus,16 GB LPDDR5X RAM,Qualcomm® Adreno™ Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop biznesowy Lenovo ThinkPad L16 Gen 1 16"" Ultra 5 125U 16GB RAM 512GB Dysk SSD Win11 Pro Czarny",5 199,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-len-ultra-5-125u-16-512gb-16-w11p.bhtml,"16 "", 1920 x 1200 pikseli",Intel® Core™ Ultra 5 14gen 125U,16 GB DDR5 5600 Mhz RAM,Intel® Graphics,512 GB SSD,Windows 11 Professional
"Laptop ultrabook Huawei MateBook D 14 2024 14"" i5-13420H 16GB RAM 512GB Dysk SSD Win11 Szary",3 699,https://www.euro.com.pl/laptopy-i-netbooki/huawei-laptop-matebook-d14-i5-16-512gb-w11.bhtml,"14 "", 1920 x 1200 pikseli",Intel® Core™ i5 13gen 13420H,16 GB LPDDR4X RAM,Intel® UHD Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop biznesowy Lenovo ThinkPad L16 Gen 1 16"" Ultra 5 125U 16GB RAM 512GB Dysk SSD Win11 Pro Czarny",5 199,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-len-ultra-5-125u-16-512gb-16-w11p.bhtml,"16 "", 1920 x 1200 pikseli",Intel® Core™ Ultra 5 14gen 125U,16 GB DDR5 5600 Mhz RAM,Intel® Graphics,512 GB SSD,Windows 11 Professional
"Laptop ultrabook Huawei MateBook D 14 2024 14"" i5-13420H 16GB RAM 512GB Dysk SSD Win11 Szary",3 699,https://www.euro.com.pl/laptopy-i-netbooki/huawei-laptop-matebook-d14-i5-16-512gb-w11.bhtml,"14 "", 1920 x 1200 pikseli",Intel® Core™ i5 13gen 13420H,16 GB LPDDR4X RAM,Intel® UHD Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop Dell Inspiron 5430-9898 14"" i7-1355U 16GB RAM 512GB Dysk SSD Win11 Szary",4 799,https://www.euro.com.pl/laptopy-i-netbooki/dell-laptop-5430-14-i7-16gb-512gb-w11.bhtml,"14 "", 1920 x 1200 pikseli",Intel® Core™ i7 13gen 1335U,16 GB LPDDR5 4800 Mhz RAM,Intel® Iris Xe Graphics,512 GB SSD,Windows 11 Home Edition
"Apple MacBook Pro 2024 16,2"" M4 Pro 48GB RAM 512GB Dysk macOS Srebrny",14 999,https://www.euro.com.pl/laptopy-i-netbooki/apple-laptop-mbp-16-m4p-14-20-48-512gb-silver.bhtml,"16,2 "", 3456 x 2234 pikseli 120 Hz",Apple M4 Pro,48 GB zunifikowana RAM,Apple M4 Pro (20-rdzeni),512 GB SSD,macOS Sequoia lub nowszy
"Laptop biznesowy Lenovo ThinkPad P16s Gen 2 16"" R5 7540U 16GB RAM 512GB Dysk SSD Win11 Pro Czarny",6 199,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-len-r5pro7540u-16gb-512-16-w11p.bhtml,"16 "", 1920 x 1200 pikseli",AMD Ryzen™ 5 7540U,16 GB LPDDR5x 7500 Mhz RAM,AMD Radeon™ 740M,512 GB SSD,Windows 11 Professional
"Laptop biznesowy Lenovo ThinkPad T14 Gen 5 14"" Ultra 7 155U 16GB RAM 512GB Dysk SSD Win11 Pro Czarny",6 949,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-len-ultra7-155u-16-512gb-14-w11p.bhtml,"14 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ Ultra 7 14gen 155U,16 GB DDR5 5600 Mhz RAM,Intel® Graphics,512 GB SSD,Windows 11 Professional
"Laptop gamingowy MSI Cyborg 14 A13VF-023XPL 14""144Hz i7-13620H 16GB RAM 512GB Dysk SSD RTX4060 DLSS3 Czarny",5 899,https://www.euro.com.pl/laptopy-i-netbooki/msi-laptop-cyborg-14-i7-16-512gb-4060-w11.bhtml,"14 "", 1920 x 1200 pikseli 144 Hz",Intel® Core™ i7 13gen 13620H,16 GB DDR5 5200 Mhz RAM,NVIDIA® GeForce RTX™ 4060 + Intel UHD Graphics,512 GB SSD,bez systemu
"Laptop 2w1 Lenovo ThinkPad T14s Gen 6 14"" Snapdragon X Elite X1E-78-100 32GB RAM 1TB Dysk SSD Win11 Pro Czarny",9 449,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-len-x1e-78-100-32gb-1tb-14-w11p.bhtml,"14 "", ekran dotykowy 1920 x 1200 pikseli 60 Hz",Qualcomm® Snapdragon™ X Elite X1E-78-100,32 GB LPDDR5x 8448 Mhz RAM,Qualcomm® Adreno™,1 TB SSD,Windows 11 Professional
"Laptop gamingowy MSI Titan 18 HX A14VHG-414PL 18"" 120Hz i9-14900HX 64GB RAM 2TB Dysk SSD RTX4080 DLSS3 Win11 Czarny + Zestaw AKC",18 999,https://www.euro.com.pl/laptopy-i-netbooki/msi-laptop-titan-hx-18-i9-64gb-2tb-4080-w11.bhtml,"18 "", 3840 x 2400 pikseli 120 Hz",Intel® Core™ i9 14gen 14900HX,64 GB DDR5 5600 Mhz RAM,NVIDIA® GeForce RTX™ 4080 + Intel UHD Graphics,2 TB SSD,Windows 11 Home Edition
"Laptop biznesowy HP ProBook 445 G9 14"" R5 5625U 16GB RAM 256GB Dysk SSD Win11 Pro Srebrny",2 599,https://www.euro.com.pl/laptopy-i-netbooki/hp-laptop-hp-r5-5625u-16gb-256gb-14-w11p.bhtml,"14 "", 1920 x 1080 pikseli",AMD Ryzen™ 5 5625U,16 GB DDR4 3200 MHz RAM,AMD Radeon™ Graphics,256 GB SSD,Windows 11 Professional
"Laptop biznesowy Lenovo ThinkPad T14 Gen 5 14"" Ultra 7 155U 32GB RAM 1TB Dysk SSD Win11 Pro Czarny",8 099,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-len-ultra7-155u-32gb-1tb-14-w11p_1.bhtml,"14 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ Ultra 7 14gen 155U,32 GB DDR5 5600 Mhz RAM,Intel® Graphics,1 TB SSD,Windows 11 Professional
"Laptop Lenovo ThinkBook 16 G7 IML 16"" Ultra 7 155H 16GB RAM 512GB Dysk SSD Win11 Pro Szary",4 799,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-len-ultra7-155h-16-512gb-16-w11p.bhtml,"16 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ Ultra 7 14gen 155H,16 GB DDR5 5600 Mhz RAM,Intel® Arc™ Graphics,512 GB SSD,Windows 11 Professional
"Laptop biznesowy HP EliteBook 640 G10 14"" i7-1355U 16GB RAM 512GB Dysk SSD Win11 Pro Srebrny",4 199,https://www.euro.com.pl/laptopy-i-netbooki/hp-laptop-hp-i7-1335u-16gb-512gb-14-w11p.bhtml,"14 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ i7 13gen 1355U,16 GB DDR4 3200 MHz RAM,Intel® Iris Xe Graphics,512 GB SSD,Windows 11 Professional
"Laptop biznesowy Lenovo ThinkPad E16 Gen 2 16"" R7 7735HS 16GB RAM 512GB Dysk SSD Win11 Pro Czarny",5 399,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-leno-r77735hs-16gb-512gb-16-w11p.bhtml,"16 "", 1920 x 1200 pikseli 60 Hz",AMD Ryzen™ 7 7735HS,16 GB DDR5 4800 Mhz RAM,AMD Radeon™ 680M,512 GB SSD,Windows 11 Professional
"Laptop biznesowy Lenovo ThinkBook 16p G5 IRX 16"" 165Hz i9-14900HX 32GB RAM 1TB Dysk SSD RTX4060 DLSS3 Win11 Pro Szary",11 699,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-len-i9-14900hx-32gb-1tb-16-w11p.bhtml,"16 "", 3200 x 2000 pikseli 165 Hz",Intel® Core™ i9 14gen 14900HX,32 GB DDR5 5600 Mhz RAM,NVIDIA® GeForce RTX 4060 + UHD Graphics,1 TB SSD,Windows 11 Professional
"Laptop gamingowy Lenovo IdeaPad Gaming 3 15ACH6 15,6"" R5 5600H 16GB RAM 512GB Dysk SSD RTX3050Ti Win10 Czarny",4 999,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-g3-r5-16gb-512ssd-3050ti-w10.bhtml,"15,6 "", 1920 x 1080 pikseli 60 Hz",AMD Ryzen™ 5 5600H,16 GB DDR4 3200 MHz RAM,NVIDIA® GeForce RTX™ 3050 Ti + AMD Radeon™ Graphics,512 GB SSD,Windows 10 Home Edition
"Laptop biznesowy Dell Vostro 5640 16"" Core 7 150U 16GB RAM 512GB Dysk SSD Win11 Pro Szary",4 449,https://www.euro.com.pl/laptopy-i-netbooki/dell-laptop-dell-7-150u-16gb-512gb-16-w11p.bhtml,"16 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ 7 150U,16 GB DDR5 5200 Mhz RAM,Intel® Graphics,512 GB SSD,Windows 11 Professional
"Apple MacBook Pro 2023 14,2"" M3 8GB RAM 1TB Dysk macOS Srebrny",7 999,https://www.euro.com.pl/laptopy-i-netbooki/apple-laptop-mbp-14-m3-1tb-silver.bhtml,"14,2 "", 3024 x 1964 pikseli 120 Hz",Apple M3,8 GB zunifikowana RAM,Apple M3 (10-rdzeni),1 TB SSD,macOS Sonoma lub nowszy
"Laptop 2w1 Microsoft Surface Laptop 5 15"" i7-1255U 8GB RAM 256GB Dysk SSD Win11 Platynowy metaliczny",5 989,https://www.euro.com.pl/laptopy-i-netbooki/microsoft-laptop-surface-lap-5-i7-8gb-256ssd-w11.bhtml,"15 "", ekran dotykowy 2496 x 1664 pikseli",Intel® Core™ i7 12gen 1255U,8 GB LPDDR5X RAM,Intel® Iris Xe Graphics,256 GB SSD,Windows 11 Home Edition
"Laptop MSI Prestige 16 AI Studio B1VEG-224PL 16"" Ultra 7 155H 32GB RAM 1TB Dysk SSD RTX4050 DLSS3 Win11 Szary",7 799,https://www.euro.com.pl/laptopy-i-netbooki/msi-laptop-aib1veg-16-u7-32gb-1tb-4050-w11.bhtml,"16 "", 2560 x 1600 pikseli 60 Hz",Intel® Core™ Ultra 7 14gen 155H,32 GB LPDDR5 6400 Mhz RAM,NVIDIA® GeForce RTX 4050 + Intel Arc Graphics,1 TB SSD,Windows 11 Home Edition
"Apple MacBook Pro 2023 14,2"" M3 8GB RAM 512GB Dysk macOS Gwiezdna Szarość",7 999,https://www.euro.com.pl/laptopy-i-netbooki/apple-laptop-mbp-14-m3-512gb-space-grey.bhtml,"14,2 "", 3024 x 1964 pikseli 120 Hz",Apple M3,8 GB zunifikowana RAM,Apple M3 (10-rdzeni),512 GB SSD,macOS Sonoma lub nowszy
"Laptop 2w1 HP Dragonfly G4 13,5"" i7-1355U 16GB RAM 512GB Dysk SSD Win11 Pro Szary",8 799,https://www.euro.com.pl/laptopy-i-netbooki/hp-laptop-hp-i7-1355u-16gb-512gb-13-5-w11p_1.bhtml,"13,5 "", ekran dotykowy 1920 x 1280 pikseli",Intel® Core™ i7 13gen 1355U,16 GB LPDDR5 6400 Mhz RAM,Intel® Iris Xe Graphics,512 GB SSD,Windows 11 Professional
"Apple MacBook Pro 2023 14,2"" M3 8GB RAM 512GB Dysk macOS Gwiezdna Szarość",7 999,https://www.euro.com.pl/laptopy-i-netbooki/apple-laptop-mbp-14-m3-512gb-space-grey.bhtml,"14,2 "", 3024 x 1964 pikseli 120 Hz",Apple M3,8 GB zunifikowana RAM,Apple M3 (10-rdzeni),512 GB SSD,macOS Sonoma lub nowszy
"Laptop 2w1 HP Dragonfly G4 13,5"" i7-1355U 16GB RAM 512GB Dysk SSD Win11 Pro Szary",8 799,https://www.euro.com.pl/laptopy-i-netbooki/hp-laptop-hp-i7-1355u-16gb-512gb-13-5-w11p_1.bhtml,"13,5 "", ekran dotykowy 1920 x 1280 pikseli",Intel® Core™ i7 13gen 1355U,16 GB LPDDR5 6400 Mhz RAM,Intel® Iris Xe Graphics,512 GB SSD,Windows 11 Professional
"Laptop gamingowy HP OMEN 17-ck1122nw 17,3'' 165Hz i7-12800HX 32GB RAM 1TB Dysk SSD RTX3080Ti Win11 Czarny",9 999,https://www.euro.com.pl/laptopy-i-netbooki/hp-laptop-omen-17-i7-32gb-1tbssd-3080ti-w11_1.bhtml,"17,3 "", 2560 x 1440 pikseli 165 Hz",Intel® Core™ i7 12gen 12800HX,32 GB DDR5 4800 Mhz RAM,NVIDIA® GeForce RTX™ 3080 Ti + Intel UHD Graphics,1 TB SSD,Windows 11 Home Edition
"Laptop gamingowy Acer Nitro V 15 ANV15-41-R1TR 15,6"" 144Hz R5 7535HS 16GB RAM 1TB Dysk SSD RTX4060 DLSS3 Win11 Czarny",4 599,https://www.euro.com.pl/laptopy-i-netbooki/acer-laptop-nitro-v-r5-16gb-1tb-4060-w11.bhtml,"15,6 "", 1920 x 1080 pikseli 144 Hz",AMD Ryzen™ 5 7535HS,16 GB DDR5 RAM,NVIDIA® GeForce RTX™ 4060 + AMD Radeon™ 660M,1 TB SSD,Windows 11 Home Edition
"Laptop gamingowy ASUS ROG Zephyrus M16 2023 AniMe Matrix GU604VY-NM068X 16""240Hz i9-13900H 64GB RAM 2TB Dysk SSD RTX4090DLSS3 W11 Pro Czarny",15 999,https://www.euro.com.pl/laptopy-i-netbooki/asus-laptop-gu604-16-i9-64gb-2tb-4090-w11p.bhtml,"16 "", 2560 x 1600 pikseli 240 Hz",Intel® Core™ i9 13gen 13900H,64 GB DDR5 4800 Mhz RAM,NVIDIA® GeForce RTX™ 4090 + Intel Iris Xe Graphics,2 TB SSD,Windows 11 Professional
