Tytuł,Cena,Sklep,Procesor:,RAM:,Dysk SSD:,Karta graficzna:,Ekran:,System operacyjny:,Dysk HDD:
"Laptop ASUS VivoBook S 16 Flip TN3604YA-MC112W 16"" IPS R5-7530U 16GB RAM 1TB SSD Windows 11 Home","3 599
99
zł",ediaexpert,AMD Ryzen 5 7530U,"16GB, DDR4",1000GB PCIe NVMe 3.0,AMD Radeon Graphics,"16"", 1920 x 1200px, Matryca IPS, LED, 60Hz, Ekran dotykowy",Windows 11 Home,
"Laptop HP 255 G9 15.6"" IPS R5-5625U 16GB RAM 512GB SSD Windows 11 Home","1 999
99
zł",ediaexpert,AMD Ryzen 5 5625U,"16GB, DDR4, 3200MHz",512GB PCIe NVMe,AMD Radeon Graphics,"15.6"", 1920 x 1080px, Matryca IPS",Windows 11 Home,
"Laptop ACER Nitro 5 AN515-58-91SM 15.6"" IPS 165Hz i9-12900H 32 GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Windows 11 Home","7 039
97
zł",ediaexpert,Intel Core i9-12900H,"32GB, DDR5, 3200MHz",1000GB PCIe NVMe,NVIDIA GeForce RTX 4060 + Intel Iris Xe Graphics,"15.6"", 1920 x 1080px, Matryca IPS, 165Hz",Windows 11 Home,
"Laptop ASUS TUF Gaming A15 FA507NV-LP023W 15.6"" IPS 144Hz R7-7735HS 16GB RAM 512GB SSD GeForce RTX4060 DLSS 3 Windows 11 Home","4 799
87
zł",ediaexpert,AMD Ryzen 7 7735HS,"16GB, DDR5, 4800MHz",512GB PCIe NVMe 4.0,NVIDIA GeForce RTX 4060 + AMD Radeon 680M,"15.6"", 1920 x 1080px, Matryca IPS, LED, 144Hz",Windows 11 Home,
"Laptop ASUS VivoBook X1502ZA-BQ242W 15.6"" IPS i5-1240P 8GB RAM 512GB SSD Windows 11 Home","2 029
97
zł",ediaexpert,Intel Core i5-1240P,"8GB, DDR4",512GB PCIe NVMe 3.0,Intel UHD Graphics,"15.6"", 1920 x 1080px, Matryca IPS, LED, 60Hz",Windows 11 Home,
"Laptop APPLE MacBook Air 2024 13.6"" M3 8GB RAM 256GB SSD macOS Księżycowa poświata","4 699
99
zł",ediaexpert,Apple M3,8GB,256GB,Apple M3 (8 rdzeni),"13.6"", 2560 x 1664px, Matryca IPS,Matryca Liquid Retina, LED, 60Hz",macOS Sonoma,
"Laptop LENOVO IdeaPad 5 15ALC05 15.6"" IPS R7-5700U 16GB RAM 512GB SSD Windows 11 Home","2 399
97
zł",ediaexpert,AMD Ryzen 7 5700U,"16GB, DDR4, 3200MHz",512GB PCIe NVMe 3.0 x4,AMD Radeon Graphics,"15.6"", 1920 x 1080px, Matryca IPS",Windows 11 Home,
"Laptop ASUS TUF Gaming F15 FX506HE-HN012W 15.6"" IPS 144Hz i5-11400H 16GB RAM 512GB SSD GeForce RTX3050Ti Windows 11 Home","3 499
86
zł",ediaexpert,Intel Core i5-11400H,"16GB, DDR4",512GB PCIe NVMe 3.0,NVIDIA GeForce RTX 3050 Ti + Intel UHD Graphics,"15.6"", 1920 x 1080px, Matryca IPS, LED, 144Hz",Windows 11 Home,
"Laptop LENOVO IdeaPad 3 14ADA05 14"" R3-3250U 8GB RAM 256GB SSD Windows 10 S","1 359
97
zł",ediaexpert,AMD Ryzen 3 3250U,"8GB, DDR4, 2400MHz",256GB PCIe NVMe 3.0 x2,AMD Radeon Graphics,"14"", 1920 x 1080px, Matryca TN",Windows 10 S (możliwość darmowej aktualizacji do Windows 11),
"Laptop ACER Aspire 5 A515-47-R35C 15.6"" IPS R5-5625U 8GB RAM 512GB SSD Windows 11 Home","2 519
97
zł",ediaexpert,AMD Ryzen 5 5625U,"8GB, DDR4",512GB PCIe NVMe,AMD Radeon Graphics,"15.6"", 1920 x 1080px, Matryca IPS, LED, 60Hz",Windows 11 Home,
"Laptop ACER Chromebook Spin 713 13.5"" IPS Pentium Gold 6405U 4GB RAM 64GB eMMC Chrome OS","1 499
97
zł",ediaexpert,Intel Pentium Gold 6405U,"4GB, DDR4",64GB eMMC,Intel UHD Graphics,"13.5"", 2256 x 1504px, Matryca IPS, LED, Ekran dotykowy",Chrome OS,
"Laptop APPLE MacBook Air 13.3"" Retina M1 8GB RAM 256GB SSD macOS Szary","3 399
99
zł",ediaexpert,Apple M1,8GB,256GB,Apple M1 (7 rdzeni),"13.3"", 2560 x 1600px, Matryca Retina,Matryca IPS, LED",macOS Big Sur,
"Laptop LENOVO IdeaPad 1 14ADA05 14"" 3020e 4GB RAM 128GB SSD Windows 10 S + Microsoft 365 Personal","1 279
97
zł",ediaexpert,AMD 3020e,"4GB, DDR4, 2400MHz",128GB PCIe NVMe,AMD Radeon Graphics,"14"", 1920 x 1080px, Matryca TN",Windows 10 S (możliwość darmowej aktualizacji do Windows 11),
"Laptop LENOVO IdeaPad Slim 3 15IAH8 15.6"" IPS i5-12450H 8GB RAM 512GB SSD Windows 11 Home","2 099
98
zł",ediaexpert,Intel Core i5-12450H,"8GB, LPDDR5, 4800MHz",512GB PCIe NVMe 4.0 x4,Intel UHD Graphics,"15.6"", 1920 x 1080px, Matryca IPS",Windows 11 Home,
"Laptop ACER Nitro 5 AN515-57 15.6"" IPS 144Hz i9-11900H 16GB RAM 1TB SSD GeForce RTX3060 Windows 11 Home","4 999
98
zł",ediaexpert,Intel Core i9-11900H,"16GB, DDR4",1000GB PCIe NVMe,NVIDIA GeForce RTX 3060 + Intel UHD Graphics,"15.6"", 1920 x 1080px, Matryca IPS, LED, 144Hz",Windows 11 Home,
"Laptop HP Victus 16-E0403NW 16.1"" IPS R5-5600H 8GB RAM 512GB SSD GeForce GTX1650 Windows 11 Home","2 799
99
zł",ediaexpert,AMD Ryzen 5 5600H,"8GB, DDR4, 3200MHz",512GB PCIe NVMe,NVIDIA GeForce GTX 1650 + AMD Radeon Graphics,"16.1"", 1920 x 1080px, Matryca IPS, 60Hz",Windows 11 Home,
"Laptop LENOVO IdeaPad 3 14IIL05 14"" i3-1005G1 8GB RAM 256GB SSD Windows 10 S","1 359
97
zł",ediaexpert,Intel Core i3-1005G1,"8GB, DDR4, 2666MHz",256GB PCIe NVMe 3.0 x2,Intel UHD Graphics,"14"", 1920 x 1080px, Matryca TN",Windows 10 S (możliwość darmowej aktualizacji do Windows 11),
"Laptop HP 15s-FQ5123NW 15.6"" i5-1235U 8GB RAM 512GB SSD Windows 11 Home","1 798
98
zł",ediaexpert,Intel Core i5-1235U,"8GB, DDR4, 3200MHz",512GB PCIe NVMe,Intel Iris Xe Graphics,"15.6"", 1920 x 1080px",Windows 11 Home,
"Laptop ACER Aspire 7 A715-42G 15.6"" IPS R5-5500U 8GB RAM 256GB SSD GeForce GTX1650","2 309
97
zł",ediaexpert,AMD Ryzen 5 5500U,"8GB, DDR4",256GB PCIe NVMe,NVIDIA GeForce GTX 1650 + AMD Radeon Graphics,"15.6"", 1920 x 1080px, Matryca IPS, LED, 60Hz",Brak,
